Var1,ASG1_RPN4,CAD1_YAP1,CAT8_YPR015C,CBF1_HAC1,CBF1_MAL33,CBF1_SUT2,CBF1_TYE7,CIN5_YAP6,CST6_MAL13,CUP2_HAA1,CUP9_RPN4,CUP9_TOS8,DAL80_GZF3,DAL81_UGA3,DOT6_TOD6,ECM22_SIP4,ECM22_UPC2,ECM23_GAT3,ECM23_GAT4,FKH1_FKH2,FKH1_HCM1,GAT1_GLN3,GAT1_GZF3,GAT3_GAT4,GAT4_HMO1,GIS1_RPH1,GLN3_GZF3,GLN3_HAA1,GLN3_ISW2,GLN3_MIG1,GLN3_RIM101,GLN3_ROX1,GLN3_SUM1,GZF3_STB5,HAC1_RPN4,HAC1_SNT1,HEL2_RPN4,HMO1_ROX1,ISW2_RPN4,ISW2_STB5,LYS14_RPN4,MAL13_MAL33,MET28_YRR1,MET31_MET32,MIG1_MIG2,MIG1_MIG3,MIG1_RPN4,MIG1_STB5,MIG1_YGR067C,MIG2_MIG3,MIG2_YGR067C,MSN2_MSN4,MSN2_PPR1,MSN2_YAP1,NHP6A_NHP6B,NHP6B_PHO2,NRG1_NRG2,NSI1_RPN4,PHO2_YOX1,RGM1_USV1,RLM1_SMP1,RPI1_ZAP1,RPN4_SNT1,RSF2_TDA9,SIP4_YER184C,SNT1_SPT2,STB4_YAP1,STP3_STP4,TDA9_YGR067C,YFL052W_YPR196W,YHP1_YOX1,YRM1_YRR1,CAD1,HAC1,HEL2,MET31,NHP6A,NRG2,NSI1,RPH1,STB5,TDA9,YAP1,YER184C,YGR067C,YPR196W
r_0015,0.000360536360702467,0.000359961756258883,0.00037388671561379,0.000273121338335314,0.000284422265718728,0.000265925102257256,0.000279805099049829,0.000366488681846403,0.000309744628172121,0.000385979268333923,0.000330914670368793,0.000376006069327487,0.000391285391681137,0.000375352957410903,0.000360580259367594,0.000370401229180916,0.000294196233398898,0.000359563909532887,0.000358339649731535,0.000341129060223534,0.000382345973039195,0.000343485086304587,0.00038465782781057,0.000397650961625663,0.000297080296361119,0.000369707312832687,0.000349053192833201,0.000343830358390616,0.000330467436237904,0.00032506554674912,0.00032831117506861,0.000351370005112886,0.000304966465764977,0.000358343195475746,0.000294761536672023,0.000348003440395767,0.000369389124105331,0.000296194774571691,0.000310463319168216,0.00030840052449531,0.000368333215734303,0.000409515074789471,0.00038526933718164,0.000257590202504825,0.000322172983720222,0.000381521068238902,0.000328415614961165,0.000288218336301695,0.000334599212864052,0.000391714038146251,0.000390743803219726,0.000349359081616802,0.000370978925484234,0.000373484973785557,0.000239231644544304,0.000373419387578597,0.000391570390666923,0.000360274904737978,0.000376447285734148,0.000277465806891388,0.000394726976232881,0.000295881972681942,0.000268959189928074,0.000323375994172252,0.000388478767144463,0.000255183640733067,0.000385295270059323,0.000395426376461685,0.000380895752341247,0.000348221735736616,0.000377447438783852,0.0003553305215123,0.000380576674350743,0.000388141549039926,0.000384660485763636,0.000395551966720775,0.00039371540692572,0.000401389055122169,0.00039056899760051,0.000389438203114537,0.000338464051723623,0.000385357053591791,0.000387602262693876,0.000406016841431028,0.000372467030641413,0.00038994580522667
r_0016,0.0798046564216647,0.0796774678348903,0.082759754999599,0.0604553574702066,0.0629568156458045,0.0588624719520312,0.0619348066619253,0.0811222016004027,0.0685619158677087,0.0854364392963251,0.0732479007726592,0.0832288735501608,0.0866109487128798,0.0830843073488314,0.0798143733830304,0.0819882432256122,0.0651202815749349,0.0795894045360464,0.0793184148565299,0.0755088540682611,0.0846322100582274,0.0760303600033423,0.0851439386821199,0.0880199664368932,0.0657586683755063,0.0818346449709077,0.0772628593484,0.0761067859154024,0.0731489055809229,0.0719531983467336,0.0726716175721447,0.0777756853158379,0.0675042705070964,0.079319199706416,0.0652454113493864,0.0770304968415117,0.0817642139552553,0.0655626582920254,0.0687209979860973,0.0682643987687457,0.0815304888336102,0.0906460856802077,0.0852792961677357,0.0570175434411987,0.0713129300579834,0.0844496175340236,0.0726947353227282,0.0637970751636956,0.074063473569068,0.0867058295282519,0.0864910682076217,0.0773305677732139,0.0821161161949486,0.0826708295205992,0.0529538800492955,0.0826563120259448,0.0866740331854052,0.079746783192527,0.0833265367197577,0.0614170047774203,0.0873727428131949,0.0654934196518761,0.0595340666939625,0.0715792161979137,0.0859897028934082,0.056484851440374,0.0852850364053903,0.0875275549242895,0.0843112039763171,0.0770788164746299,0.083547920411392,0.0786523448846308,0.0842405761224323,0.0859150597286542,0.0851445270195394,0.0875553543047932,0.0871488321355544,0.08884739273739,0.0864523750163029,0.0862020738670353,0.0749189549322022,0.0852987121788173,0.0857956887962036,0.0898717523766002,0.0824455079948674,0.0863144315001983
r_0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0018,0.118526682870304,0.118337781094828,0.122915625166436,0.0897889083667153,0.0935040993491294,0.0874231386845064,0.0919862012695636,0.120483514295559,0.101828850889286,0.126891063756205,0.108788523064672,0.123612364782445,0.128635457020786,0.123397653598073,0.118541114599603,0.121769768076558,0.0967173008286,0.118206988592703,0.117804511979867,0.112146513766824,0.125696614357722,0.112921059656173,0.126456638885605,0.130728144395447,0.0976654393615212,0.121541642395162,0.114751580149083,0.113034568193745,0.108641494404657,0.106865617926928,0.107932621426678,0.115513234462699,0.100258025302566,0.117805677646855,0.0969031448351915,0.114406473003714,0.121437037538368,0.0973743232030684,0.10206512126049,0.101386975484786,0.12108990662378,0.13462848325647,0.126657673192262,0.0846830322004132,0.105914684988734,0.125425426094014,0.10796695614366,0.0947520612835761,0.109999820030689,0.128776374967412,0.128457409281893,0.114852141386427,0.121959686303937,0.122783552145623,0.0786476382304316,0.122761990615731,0.128729150717424,0.118440728965053,0.123757415109707,0.091217156673593,0.129766881323442,0.0972714892744316,0.0884205979878039,0.106310175857005,0.127712776446361,0.0838918726530844,0.126666198651284,0.129996809836626,0.125219852878179,0.114478237811531,0.12408621640762,0.116815258120899,0.125114955675251,0.127601915663119,0.126457512690291,0.130038097757716,0.129434326920353,0.131957046305623,0.128399941762799,0.128028191964334,0.111270389603646,0.126686510048296,0.127424624746913,0.133478435602262,0.122448902336681,0.128195066657505
r_0019,6.85019125238728e-05,6.83927379742084e-05,7.10384798152181e-05,5.18930573640621e-05,5.40402329368339e-05,5.05257724673651e-05,5.31629719283427e-05,6.96328540305742e-05,5.88514827351298e-05,7.3336064727553e-05,6.28737916473353e-05,7.14411564026189e-05,7.43442282776297e-05,7.13170662830621e-05,6.85102524942474e-05,7.03762370917388e-05,5.58972881294826e-05,6.83171461758923e-05,6.80845365922273e-05,6.48145250549009e-05,7.2645739123609e-05,6.52621697662222e-05,7.30849917380376e-05,7.55536882035068e-05,5.64452597317994e-05,7.02443935013355e-05,6.6320109900226e-05,6.53277715268689e-05,6.27888168319001e-05,6.17624579217773e-05,6.23791266809305e-05,6.67603048850474e-05,5.79436320775124e-05,6.80852107639389e-05,5.60046954224533e-05,6.61206574749895e-05,7.01839374388163e-05,5.62770093776649e-05,5.8988034143554e-05,5.85961024266224e-05,6.99833149036659e-05,7.78078679956088e-05,7.32011775865589e-05,4.8942141432934e-05,6.12128702492532e-05,7.24890077627755e-05,6.23989701799901e-05,5.47614874950908e-05,6.35738535196564e-05,7.44256713932804e-05,7.42413266590505e-05,6.63782288009309e-05,7.04860000475923e-05,7.09621490341881e-05,4.54540150158708e-05,7.0949688177923e-05,7.43983783388817e-05,6.84522347191906e-05,7.15249880469408e-05,5.27185063989253e-05,7.49981292416563e-05,5.62175782053793e-05,5.11022487475332e-05,6.14414425108089e-05,7.3810969499962e-05,4.84848943975836e-05,7.32061050204401e-05,7.51310161541288e-05,7.23701974457459e-05,6.61621329020982e-05,7.17150176843229e-05,6.75128027928946e-05,7.23095726128678e-05,7.37468994333196e-05,7.30854965578819e-05,7.51548775990508e-05,7.48059311215597e-05,7.6263925253532e-05,7.42081149110522e-05,7.39932624587056e-05,6.43081735361021e-05,7.32178444078306e-05,7.36444351929282e-05,7.71432045580598e-05,7.07687397908618e-05,7.40897065163779e-05
r_0020,0.111668349771305,0.111490378456925,0.115803333823871,0.0845934348475891,0.0880936529928481,0.0823645561684857,0.0866635853529576,0.113511952669532,0.0959367077736805,0.119548740817117,0.102493671049262,0.116459757856274,0.121192197906056,0.11625747054802,0.11168194643463,0.114723779691108,0.0911209283541018,0.111367154027497,0.110987965999171,0.105657357665771,0.118423406082536,0.106387085851604,0.119139453159322,0.123163795694005,0.0920142045578242,0.114508854091787,0.108111686572157,0.106494026421908,0.102355149938196,0.100682031355477,0.101687294618725,0.108829269130133,0.0944567751812784,0.110989064216983,0.0912960188319705,0.107786548430373,0.114410302006677,0.0917399333116839,0.096159306785185,0.0955204006938996,0.114083257197332,0.126838448469164,0.119328854977959,0.0797830010125192,0.0997861224393526,0.11816790963952,0.101719642619172,0.0892694038568835,0.10363487849761,0.121324961889416,0.121024452579043,0.108206429014348,0.11490270864232,0.115678902970538,0.0740968342480091,0.115658589059624,0.121280470185801,0.111587369434057,0.116596415107528,0.0859390401375691,0.122258154378894,0.0916430496833191,0.0833042992850434,0.100158728940773,0.120322906581975,0.0790376204878858,0.119336887126751,0.122474778492611,0.11797423154768,0.107854160696808,0.116906190910371,0.110055953533614,0.117875404032562,0.1202184605584,0.119140276403277,0.122513677362356,0.121944842637485,0.124321589407776,0.120970310314896,0.120620071148989,0.104831928849641,0.11935602324121,0.120051428261784,0.125754946251715,0.115363617070211,0.120777289938562
r_0021,0,0,0,0,0,0,0,0,2.50128298635942e-15,5.25262095914147e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50128298635942e-15,0,0,0,0,0,0,-6.01922887194869e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50128298635942e-15,0,0,2.50128298635942e-15,0,0,0,0,0,0,0,0,2.50128298635942e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0022,0,0,0,0,0,0,0,0,2.50128298635942e-15,5.25262095914146e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50128298635942e-15,0,0,0,0,0,0,-6.01922887194869e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50128298635942e-15,0,0,2.50128298635942e-15,0,0,0,0,0,0,0,0,2.50128298635942e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0023,-0.122750914260092,-0.122555280120305,-0.127296276253175,-0.092988939920728,-0.0968365384419926,-0.0905388553964044,-0.0952645432379741,-0.124777486173572,-0.105457979941882,-0.131413397475685,-0.112665691334717,-0.128017847318823,-0.133219960039246,-0.127795483935783,-0.122765860328967,-0.126109581392678,-0.100164256806797,-0.122419826239159,-0.122003005562181,-0.116143359137308,-0.130176378501133,-0.116945509452761,-0.130963489921098,-0.135387229739869,-0.101146186520368,-0.125873325426684,-0.118841268775769,-0.117063063377547,-0.112513422647176,-0.110674254824579,-0.111779285792638,-0.11963006806621,-0.103831170920963,-0.122004212772955,-0.100356724200353,-0.118483862185236,-0.125764992505383,-0.100844695128382,-0.105702670870335,-0.105000356320113,-0.125405490019514,-0.139426574717054,-0.131171688989377,-0.0877010928947701,-0.109689431114536,-0.129895525224043,-0.111814844181671,-0.0981289771123867,-0.113920158315639,-0.133365900230644,-0.133035566768449,-0.118945413965056,-0.126306268210203,-0.127159496216299,-0.0814506005179123,-0.127137166244321,-0.133316992932128,-0.122661897000869,-0.128168067166825,-0.09446809027923,-0.134391707735239,-0.100738196250227,-0.091571863647812,-0.110099017078525,-0.132264395593013,-0.0868817368189194,-0.131180518291472,-0.134629830785039,-0.129682625482145,-0.118558184654725,-0.128508586777696,-0.120978495193014,-0.129573989795641,-0.13214958378719,-0.130964394867744,-0.13467259018688,-0.134047301260412,-0.13665992909631,-0.132976051135866,-0.132591052361476,-0.115236010349414,-0.131201553576463,-0.131965974311861,-0.138235539942622,-0.126812919656406,-0.132763874384817
r_0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
