,p
r_0013,0.3283139820970553
r_0018,0.16373498616719745
r_0020,0.09106143498808515
r_0023,0.13031310175712507
r_0025,-0.2495387239757705
r_0026,-0.07862233858250921
r_0027,-0.020537032666721314
r_0029,-0.30800204627046046
r_0039,0.03713393655312316
r_0040,0.03713393655312316
r_0045,-0.14372173989778955
r_0058,-0.288521065492003
r_0060,0.13031310175712507
r_0061,-0.16566966600572874
r_0065,0.03713393655312316
r_0075,0.516724755671804
r_0086,-0.04933557954574294
r_0087,0.28529684542215045
r_0096,0.061611377644276336
r_0115,0.13137617519890166
r_0118,0.17364655501427564
r_0144,-0.024447624706982016
r_0145,0.19080061040697857
r_0202,-0.08631845122700388
r_0203,0.14630702616849425
r_0207,0.024704446850506535
r_0208,0.04359224675690775
r_0215,-0.0008118257848932328
r_0216,-0.3692838780045928
r_0217,0.6975147107860408
r_0219,-0.2312651854967534
r_0225,0.12815240109208778
r_0278,0.09654655083356156
r_0279,-0.10247013285324548
r_0308,-0.04493402246284888
r_0311,0.10789287533473137
r_0352,0.17192467235624867
r_0353,0.1719039996729301
r_0468,-0.04159667272334784
r_0471,0.06328797789166964
r_0473,-0.12447743537892567
r_0476,-0.15629997958656766
r_0501,0.09315408191704833
r_0502,0.10091763912339127
r_0503,-0.004333667221570297
r_0504,0.04390711414760408
r_0509,0.04390711414760408
r_0536,0.17840459920553015
r_0537,0.27370839821453846
r_0538,0.16640157261209354
r_0542,0.06756166304977465
r_0545,0.15821424202356257
r_0546,0.011625276419078158
r_0548,0.04758297723438372
r_0549,0.18454415657629974
r_0563,0.19419008564884865
r_0564,0.0017304759171168096
r_0566,0.17341892276021026
r_0663,0.037442345237991864
r_0669,0.06160496682833475
r_0671,0.06942541529921226
r_0672,0.055872079722443665
r_0673,0.05587207972244391
r_0678,0.1038724847909295
r_0694,-0.2683127061358851
r_0699,-0.5618544650202875
r_0726,-0.7289588833960406
r_0727,0.277283141111258
r_0759,0.13137617519890166
r_0762,-0.13770865406555707
r_0813,0.006088290897067255
r_0815,0.10944956828921908
r_0816,-0.02890728212877486
r_0818,0.10375756564935172
r_0851,0.19425107166462652
r_0891,0.26202950592590635
r_0909,0.17840459920553015
r_0910,0.17840459920553015
r_0917,0.6336746708080508
r_0918,0.435677487758171
r_0937,0.02217060818967613
r_0938,0.0525430202790174
r_0939,-0.25858410784465047
r_0957,0.10603621673996079
r_0988,0.08369826734026924
r_0989,0.24563326845123487
r_0996,0.03713393655312316
r_0997,0.03713393655312316
r_1041,-0.09450853243416303
r_1055,0.09457524981416607
r_1063,0.19763562446768462
r_1088,0.11028199794538478
r_4226,0.23402426845780677
r_4262,0.28639655773992845
r_4484,-0.030814295647164588
