,p
r_0012,-0.2825048405939759
r_0013,
r_0018,
r_0020,
r_0023,
r_0024,
r_0025,
r_0026,0.23376311445517295
r_0027,
r_0039,
r_0040,
r_0042,
r_0045,
r_0058,
r_0060,
r_0061,0.2093072370214961
r_0065,
r_0068,
r_0075,
r_0085,0.16617884205980166
r_0086,
r_0087,
r_0096,0.175645594908593
r_0115,
r_0118,
r_0144,0.10300109063512929
r_0145,
r_0156,
r_0169,-0.1273029727581889
r_0170,-0.09204025039285361
r_0171,
r_0176,-0.17642129761076558
r_0177,0.07339093914624704
r_0178,-0.20987860018272653
r_0185,
r_0186,-0.12729562023862878
r_0187,-0.09063729992777694
r_0191,
r_0199,
r_0201,-0.17642129761076558
r_0202,
r_0203,
r_0206,
r_0207,-0.06679558851530756
r_0208,-0.40173410005212823
r_0211,
r_0215,
r_0216,0.025908442960812426
r_0217,
r_0218,-0.0441033847571099
r_0219,0.10686411424629773
r_0225,
r_0278,
r_0279,
r_0308,
r_0309,-0.16335656524199643
r_0310,
r_0311,
r_0312,0.09095339126525318
r_0331,
r_0352,
r_0353,
r_0359,
r_0443,
r_0468,
r_0469,
r_0470,
r_0471,0.1854668271284798
r_0472,
r_0473,
r_0476,-0.13447735483736947
r_0477,
r_0501,
r_0502,0.09010837439063235
r_0503,0.10196033054730454
r_0504,
r_0506,
r_0507,
r_0508,
r_0509,
r_0536,
r_0537,
r_0538,
r_0541,
r_0542,
r_0545,-0.6795947672451543
r_0546,-0.28576555365757855
r_0547,-0.2922084520442453
r_0548,
r_0549,
r_0563,
r_0564,
r_0566,
r_0567,-0.2843897437517802
r_0663,
r_0664,0.5969782904472744
r_0669,0.18812970343102597
r_0670,
r_0671,
r_0672,-0.12807388993414112
r_0673,-0.12500522474074804
r_0674,
r_0675,
r_0678,
r_0680,0.2704056609900048
r_0681,-0.04410338505127543
r_0682,
r_0683,-0.04410338505127543
r_0687,-0.07911148909738591
r_0693,
r_0694,
r_0699,
r_0700,0.6014949989431284
r_0726,
r_0727,0.1577602874424046
r_0759,
r_0761,
r_0762,
r_0812,0.09094528557141553
r_0813,0.09113614381056506
r_0815,
r_0816,
r_0817,
r_0818,
r_0851,
r_0891,
r_0909,
r_0910,
r_0917,
r_0918,
r_0929,
r_0936,
r_0937,
r_0938,
r_0939,
r_0940,
r_0957,-0.07721035261437478
r_0988,
r_0989,
r_0992,
r_0996,
r_0997,
r_1023,
r_1040,
r_1041,0.047772180178830934
r_1055,
r_1056,
r_1063,
r_1065,-0.04410338505127543
r_1075,
r_1087,
r_1088,0.6377082695498391
r_1739,
r_2112,
r_4186,
r_4193,
r_4206,
r_4223,
r_4226,
r_4227,
r_4228,
r_4248,
r_4262,
r_4292,
r_4293,
r_4294,
r_4298,
r_4299,
r_4301,
r_4302,
r_4336,
r_4340,
r_4484,
r_4570,
