,p
r_0006,0.30203358961401094
r_0091,-0.1610765871773274
r_0112,0.05080898396867961
r_0114,-1.0826364791963672
r_0163,-12.332215533431597
r_0165,-0.2403473481387456
r_0173,0.01825043526526243
r_0280,-0.046984532363440086
r_0300,0.11893963586719511
r_0302,-0.04698453236343806
r_0303,-0.04086967240852144
r_0366,0.07358696014199871
r_0450,0.005472841729732576
r_0451,0.3336828454033251
r_0452,0.05264506012983007
r_0454,-0.01926637509808939
r_0466,-0.05849140545212964
r_0467,-0.049321088934495654
r_0486,0.01843624182843429
r_0511,0.028236237410093568
r_0534,0.03362581344013359
r_0553,-2.2524346896515484
r_0658,-0.029584977078805173
r_0659,-0.33562434589280554
r_0662,0.45432604399891185
r_0697,0.24823492284367998
r_0713,-1.1855890211972253
r_0714,-0.44586574765690323
r_0718,0.04343178707750659
r_0719,0.07902747132617488
r_0722,0.3556537514076456
r_0723,0.18905075541078722
r_0757,0.4902584581117988
r_0758,-0.37275452719271246
r_0831,-0.05943220070141406
r_0832,-0.059432200701466126
r_0888,-0.07981861936587072
r_0889,-0.08217217029597865
r_0892,0.02589242335916979
r_0893,0.0849727585784757
r_0902,0.3721882611929606
r_0958,0.1595766466354594
r_0959,-0.010395256356037833
r_0961,0.054268294308419264
r_0962,0.08887004013465695
r_0984,-0.0858281698588164
r_0990,0.0548949255723436
r_1022,0.15267262784874508
r_1048,0.07675160211111444
r_1049,0.07105965701472414
r_1050,0.09184424693142097
r_1054,-0.03928847152678367
r_1084,0.04369065064715423
r_1838,-0.23448251667293823
r_2115,-0.010180175657737522
r_2131,0.14547316560708826
r_2305,-0.04086967240852222
r_2455,0.0840775262404792
r_4196,0.13363360780317068
r_4236,0.9472772206485267
