,p
r_0109,0.16026866551988028
r_0127,0.3722507034468712
r_0231,0.2638486799478921
r_0234,0.2888183130691928
r_0235,0.2888183130691928
r_0236,0.09154247174363672
r_0237,0.09154247174363672
r_0238,0.533662067194031
r_0239,0.533662067194031
r_0240,0.533662067194031
r_0241,0.533662067194031
r_0244,0.7102870022686335
r_0317,0.23250100924128123
r_0489,0.35201611392345933
r_0490,-0.009559445169731593
r_0491,0.03596800043151099
r_0492,-0.006318534734271754
r_0698,0.28188864476751296
r_1011,0.2805616368641632
r_1012,0.2444525602463239
r_2140,0.1447858023474295
r_2141,0.11586125863530425
r_2156,0.04423559087316315
r_2163,0.2222809084934417
r_2170,0.05165865140841929
r_2177,-0.0035544830820867027
r_2182,0.6508896858232981
r_2183,0.6508890366167454
r_2194,0.1073263726046565
r_2195,-0.06379061618908802
r_2196,-0.10133771242352359
r_2197,-0.04785659408335751
r_2198,0.050436107159215385
r_2199,0.03309263947835483
r_2200,0.10732637260500572
r_2201,-0.06379061618978647
r_2202,-0.10133771245995887
r_2203,-0.047857781714686944
r_2204,0.05043610632207665
r_2205,0.0330926394299245
r_2214,-0.0377134301389794
r_2215,-0.08456695972322441
r_2217,-0.11905496347528559
r_2218,0.0015881674394339395
r_2308,0.19194516955675295
r_2309,0.19072284850538884
r_2310,0.26728065054536326
r_2316,-0.08381727524452266
r_2317,-0.12450703583815002
r_2318,-0.05762586365878928
r_2332,0.06096359041225351
r_2333,0.11623615500317287
r_2334,0.0309601205364863
r_2335,0.0345161592631436
r_2336,-0.0373800535014799
r_2337,0.1577334308869502
r_2340,-0.21036030456771226
r_2341,-0.1673447707686524
r_2342,0.0022601030846221984
r_2346,0.10404867482071249
r_2370,0.23966305010483646
r_2376,-0.16883101313144874
r_2377,-0.2290664519512616
r_2378,0.16856998955500585
r_2379,-0.06140445558913015
r_2380,0.04350570062811891
r_2381,-0.17848018908310864
r_2382,-0.12905238580811126
r_2383,0.09561802250317745
r_2392,0.12709886975848794
r_2393,0.22123500545926647
r_2394,0.018530573827958894
r_2395,0.38851488699422876
r_2396,0.13697903763759023
r_2397,-0.0023730516350450224
r_2398,-0.16192075836813938
r_2399,-0.1226795740050572
r_2432,0.2952788613279582
r_2433,0.1898545745691959
r_2434,0.10570524462784632
r_2436,-0.006646731130551774
r_2437,0.004492218961353193
r_2438,0.25652411169409245
