,p,panduan
r_0313,0.0,1
r_0314,1.429922317762776e-142,1
r_0315,0.0,1
r_0317,5.342617704935385e-234,1
r_0318,0.0,1
r_0319,1000,0
r_0320,1000,0
r_0321,1000,0
r_0322,5.314375439477014e-100,1
r_0323,1000,0
r_0326,9.158674831058655e-78,1
r_0327,1.355176504328715e-59,1
r_0328,1.7149509826194494e-211,1
r_0329,4.503397265051929e-43,1
r_0330,1.3031086438946624e-36,1
r_0331,1000,0
r_0332,1000,0
r_0334,1.3460445190365394e-32,1
r_0335,1000,0
r_0340,2.141024170322876e-61,1
r_0341,2.9118816322883504e-34,1
r_0342,0.0,1
r_0343,0.0,1
r_0344,3.7791249366919787e-57,1
r_0345,8.194021234711104e-272,1
r_0346,0.0,1
r_0347,0.0,1
r_0348,0.0,1
r_0349,0.0,1
r_0350,0.0,1
r_0351,0.0,1
r_0352,0.0,1
r_0353,2.5889067362303044e-134,1
r_0354,1.0902190674979224e-154,1
r_0355,3.3714832745123106e-163,1
r_0356,1000,0
r_0357,3.722843990066129e-27,1
r_0358,1.1808719928309285e-05,1
r_0359,1000,0
r_0360,1000,0
r_0361,0.0,1
r_0362,0.0,1
r_0363,0.1891257192654094,0
r_0364,3.496373319878619e-114,1
r_0365,1000,0
r_0366,0.0,1
r_0368,0.0,1
r_0369,2.1636167725665546e-08,1
r_0370,1000,0
r_0373,1.943201253605107e-291,1
r_0399,0.0010508033521299874,1
r_0400,9.639792053155554e-105,1
r_0402,1.1314179857226245e-15,1
r_0410,6.794656007147246e-16,1
r_0412,1.9463907018049884e-23,1
r_0436,0.0,1
r_0437,1.2264340096275223e-100,1
r_0438,0.0,1
r_0439,0.0,1
r_0440,1.2857375899447814e-57,1
r_0441,1.9451138233526064e-82,1
r_0442,3.118253163718024e-208,1
r_0443,1000,0
r_0445,0.0,1
r_0446,4.406441575808158e-261,1
r_0447,0.0,1
r_0448,9.445191380827563e-111,1
r_0449,2.316012227476179e-07,1
r_0450,4.785554525355535e-274,1
r_0451,0.0,1
r_0452,0.0,1
r_0453,0.0,1
r_0454,0.0,1
r_0455,2.977756357157729e-254,1
r_0457,1000,0
r_0458,0.0,1
r_0459,0.0,1
r_0460,3.880301633596192e-83,1
r_0461,1.943201253605107e-291,1
r_0462,3.3714832745123106e-163,1
r_0463,4.445959962233409e-41,1
r_0464,1.622674587762678e-16,1
r_0465,5.126170557595249e-49,1
r_0466,0.0,1
r_0467,0.0,1
r_0468,4.489118110301216e-156,1
r_0469,0.0,1
r_0470,1.9134883213952362e-131,1
r_0471,0.0,1
r_0472,0.0,1
r_0473,4.489118110301216e-156,1
r_0475,0.0010498647188580984,1
r_0476,0.0,1
r_0477,1.2367346132253242e-94,1
r_0478,0.0,1
r_0479,0.0,1
r_0480,1000,0
r_0481,2.3133723250372787e-34,1
r_0482,1.8874814473112255e-21,1
r_0483,2.0987852917658206e-72,1
r_0484,1.8874814473112255e-21,1
r_0485,3.880301633596192e-83,1
r_0486,0.0,1
r_0487,3.464121080306725e-60,1
r_0488,1.2434491380276547e-30,1
r_0489,1.4043177731287485e-45,1
r_0490,0.0,1
r_0491,6.681338672034363e-58,1
r_0492,0.0,1
r_0497,0.0,1
r_0499,0.0,1
r_0500,2.9192402824305314e-80,1
r_0501,2.0879655375859137e-238,1
r_0502,0.0,1
r_0503,0.0,1
r_0504,0.0,1
r_0505,0.0,1
r_0506,0.0,1
r_0507,0.0,1
r_0508,0.0,1
r_0509,0.0,1
r_0510,1.5823742161574462e-113,1
r_0511,7.982872649927634e-60,1
r_0512,0.0,1
r_0514,7.615334171806682e-297,1
r_0518,1000,0
r_0519,1000,0
r_0520,1000,0
r_0521,1000,0
r_0522,1000,0
r_0523,1000,0
r_0524,0.0,1
r_0525,0.0,1
r_0526,6.890463828047933e-56,1
r_0527,8.650036374375824e-08,1
r_0528,0.0,1
r_0529,0.0,1
r_0530,0.0,1
r_0531,0.0,1
r_0532,1.943201253605107e-291,1
r_0533,1000,0
r_0534,0.0,1
r_0535,0.0,1
r_0536,2.699476299411546e-113,1
r_0537,2.699476299411546e-113,1
r_0538,2.699476299411546e-113,1
r_0539,0.0,1
r_0540,1000,0
r_0541,1000,0
r_0542,4.6148738250850197e-293,1
r_0543,1000,0
r_0544,2.624397136934878e-57,1
r_0545,4.6148738250850197e-293,1
r_0546,0.0,1
r_0547,1.862321636232006e-148,1
r_0548,1.1074536674151895e-126,1
r_0549,5.899665284714024e-249,1
r_0550,8.127744962620257e-69,1
r_0551,2.563227786035536e-98,1
r_0552,0.0,1
r_0553,0.0,1
r_0554,1000,0
r_0555,1.943201253605107e-291,1
r_0556,6.5246349332533145e-47,1
r_0557,0.0,1
r_0558,0.0,1
r_0559,2.2865598452806866e-233,1
r_0560,0.0,1
r_0561,6.5246349332533145e-47,1
r_0562,9.510876658861622e-38,1
r_0563,2.699476299411546e-113,1
r_0564,2.699476299411546e-113,1
r_0565,0.0,1
r_0566,4.345495980451331e-77,1
r_0567,5.179159001579662e-263,1
r_0568,0.0,1
r_0569,0.0,1
r_0570,0.0,1
r_0571,1.0355806348039103e-26,1
r_0572,1000,0
r_0573,1000,0
r_0574,1000,0
r_0575,1000,0
r_0596,0.0,1
r_0597,0.0,1
r_0598,0.0,1
r_0599,0.0,1
r_0600,7.71259647444618e-264,1
r_0601,0.0,1
r_0602,0.0,1
r_0603,3.099599206748824e-286,1
r_0604,7.351942090524964e-181,1
r_0605,7.626263338059978e-299,1
r_0606,0.0,1
r_0607,0.0,1
r_0608,0.0,1
r_0609,0.0,1
r_0610,0.0,1
r_0611,0.0,1
r_0612,0.0,1
r_0613,0.0,1
r_0614,0.0,1
r_0615,7.431848697639528e-181,1
r_0616,1000,0
r_0617,1000,0
r_0618,1000,0
r_0619,1000,0
r_0620,1000,0
r_0621,1000,0
r_0622,1000,0
r_0623,1000,0
r_0624,1000,0
r_0625,1000,0
r_0626,1000,0
r_0627,1000,0
r_0628,1000,0
r_0629,1000,0
r_0630,1000,0
r_0631,1000,0
r_0632,1000,0
r_0633,1000,0
r_0634,1000,0
r_0635,1000,0
r_0636,1000,0
r_0637,1000,0
r_0638,1000,0
r_0639,1000,0
r_0640,1000,0
r_0641,1000,0
r_0642,1000,0
r_0643,1000,0
r_0644,1000,0
r_0645,1000,0
r_0646,5.303154126180735e-177,1
r_0647,0.0,1
r_0648,0.0,1
r_0649,0.0,1
r_0650,0.0,1
r_0651,0.0,1
r_0652,0.0,1
r_0653,0.0,1
r_0654,0.0,1
r_0655,0.0,1
r_0656,1.7564846535883416e-21,1
r_0657,8.511083104099767e-103,1
r_0658,0.0,1
r_0659,0.0,1
r_0661,2.0586545168918645e-176,1
r_0662,0.0,1
r_0663,0.0,1
r_0664,6.331924211258532e-209,1
r_0665,0.0,1
r_0666,1000,0
r_0667,3.3714832745123106e-163,1
r_0668,1000,0
r_0669,2.5889067362303044e-134,1
r_0670,1.0037331201926885e-101,1
r_0671,0.0,1
r_0672,0.0,1
r_0673,0.0,1
r_0674,4.9715933259952305e-34,1
r_0675,8.328842779302207e-221,1
r_0676,8.328842779302207e-221,1
r_0678,5.9405510682332185e-118,1
r_0679,7.874960751778458e-99,1
r_0680,1.342901025753654e-129,1
r_0681,2.0044445610706145e-264,1
r_0682,0.0,1
r_0683,0.0,1
r_0687,1.794596860331674e-67,1
r_0688,1.7927007185727903e-64,1
r_0689,3.6799239344653316e-159,1
r_0690,1000,0
r_0691,1000,0
r_0692,7.817509691752064e-142,1
r_0693,5.630140468058548e-44,1
r_0694,5.86748928253418e-110,1
r_0695,1.1653993722372843e-71,1
r_0696,1.7927007185727903e-64,1
r_0697,0.0,1
r_0698,3.3730135171301677e-163,1
r_0699,0.0,1
r_0700,1000,0
r_0701,0.0,1
r_0702,1000,0
r_0703,1000,0
r_0704,1000,0
r_0705,1000,0
r_0706,1000,0
r_0707,1000,0
r_0708,1000,0
r_0711,0.0,1
r_0712,1000,0
r_0713,0.0,1
r_0714,0.0,1
r_0715,0.0,1
r_0716,0.0,1
r_0717,0.0,1
r_0718,0.0,1
r_0719,1.2123381414652969e-269,1
r_0721,1000,0
r_0722,0.0,1
r_0723,0.0,1
r_0724,0.0,1
r_0725,5.97891337866763e-287,1
r_0726,1.5479385954066972e-239,1
r_0727,6.818796510980217e-270,1
r_0728,1000,0
r_0729,0.0,1
r_0730,1000,0
r_0731,1.6734967517217667e-68,1
r_0732,1.7840872223094717e-262,1
r_0733,0.0,1
r_0734,1.067830498088082e-258,1
r_0735,4.089906131758025e-107,1
r_0736,9.936141220508428e-120,1
r_0737,0.0,1
r_0738,2.4207759364812375e-143,1
r_0739,3.3714832745123106e-163,1
r_0747,8.935473709141285e-158,1
r_0748,0.0,1
r_0749,5.933140251697056e-60,1
r_0750,0.0,1
r_0751,0.0,1
r_0752,0.0,1
r_0753,6.832614863436733e-66,1
r_0754,0.0,1
r_0755,0.0,1
r_0756,0.0,1
r_0757,0.0,1
r_0758,0.0,1
r_0759,0.0,1
r_0760,1000,0
r_0761,0.0,1
r_0762,5.86748928253418e-110,1
r_0763,1.1653993722372843e-71,1
r_0764,3.3091092050579823e-147,1
r_0765,0.0,1
r_0766,0.0,1
r_0767,1000,0
r_0768,0.0,1
r_0769,2.0943644090230483e-248,1
r_0770,0.0,1
r_0771,0.0,1
r_0772,0.0,1
r_0773,0.0,1
r_0774,1.9948432395226693e-24,1
r_0775,0.0,1
r_0781,0.0,1
r_0782,1000,0
r_0783,7.855385190839015e-52,1
r_0784,2.0943644090230483e-248,1
r_0785,0.0,1
r_0786,0.0,1
r_0787,0.0,1
r_0788,2.485453555299144e-57,1
r_0789,4.9466482633112483e-107,1
r_0790,1.789705165490773e-104,1
r_0791,1.286696132651204e-63,1
r_0792,5.773977853595872e-42,1
r_0793,1.5636881111947815e-108,1
r_0795,0.0,1
r_0796,0.0,1
r_0797,4.1368847831091217e-42,1
r_0798,0.0,1
r_0799,0.1891257192654094,0
r_0800,0.0,1
r_0801,0.0,1
r_0802,1000,0
r_0803,8.400991864576228e-70,1
r_0804,1.9130468812328174e-87,1
r_0805,7.11882929312371e-105,1
r_0806,1.1119731994120197e-39,1
r_0807,3.137243153375892e-103,1
r_0810,3.1852426034589847e-58,1
r_0811,0.0,1
r_0812,1000,0
r_0813,2.0691346420325199e-128,1
r_0815,1.0198145863111457e-76,1
r_0816,0.0,1
r_0817,0.0,1
r_0818,0.0,1
r_0819,8.250046903875106e-09,1
r_0820,0.0,1
r_0821,0.0,1
r_0831,0.0,1
r_0832,0.0,1
r_0841,5.488306061124045e-177,1
r_0842,0.0,1
r_0843,8.809921523752476e-58,1
r_0844,6.217128149994465e-05,1
r_0845,8.828805727802168e-116,1
r_0847,7.066046345040964e-48,1
r_0848,1.549237154031456e-118,1
r_0849,4.286586714524163e-77,1
r_0850,5.8582199464434695e-68,1
r_0851,0.0,1
r_0852,0.0,1
r_0853,1000,0
r_0854,0.0,1
r_0855,0.0,1
r_0882,1000,0
r_0883,0.0,1
r_0884,4.570008985871092e-81,1
r_0885,3.1131220305495305e-230,1
r_0886,6.199729313062114e-284,1
r_0887,0.0,1
r_0888,5.038021525466727e-200,1
r_0889,0.0,1
r_0890,1000,0
r_0891,0.0,1
r_0892,0.0,1
r_0893,0.0,1
r_0902,0.0,1
r_0903,6.5246349332533145e-47,1
r_0904,3.3714832745123106e-163,1
r_0905,0.0,1
r_0906,0.0,1
r_0907,1.6803623422129515e-51,1
r_0908,0.0,1
r_0909,2.699476299411546e-113,1
r_0910,2.699476299411546e-113,1
r_0911,0.0,1
r_0912,0.0,1
r_0913,4.345495980451331e-77,1
r_0914,0.0,1
r_0915,0.0,1
r_0916,1.1611546168885607e-257,1
r_0917,0.0,1
r_0918,0.0,1
r_0919,0.0,1
r_0920,0.0,1
r_0921,1000,0
r_0922,7.518387197723179e-203,1
r_0929,1000,0
r_0935,0.0,1
r_0936,1000,0
r_0937,1.8442312340371972e-246,1
r_0938,0.0,1
r_0939,3.275367040377853e-306,1
r_0940,6.0731421198494345e-199,1
r_0941,0.0,1
r_0942,0.0,1
r_0943,0.0,1
r_0949,1.7363841942246073e-67,1
r_0950,1000,0
r_0951,4.2071124040283235e-43,1
r_0953,0.0,1
r_0954,0.0,1
r_0955,1000,0
r_0956,8.918046981505287e-108,1
r_0957,2.795868560694047e-165,1
r_0958,0.0,1
r_0959,0.0,1
r_0960,0.0,1
r_0961,0.0,1
r_0962,0.0,1
r_0963,1.943201253605107e-291,1
r_0964,3.4933587109680815e-67,1
r_0965,1.1688609467167629e-54,1
r_0966,2.9776229167488358e-254,1
r_0967,0.0,1
r_0968,0.0,1
r_0969,5.193118044206108e-37,1
r_0970,0.0,1
r_0971,0.0,1
r_0972,7.780989118955022e-162,1
r_0973,1.5496932577058935e-235,1
r_0974,0.0,1
r_0975,4.576091269627035e-258,1
r_0976,4.441880288151622e-151,1
r_0977,4.4686778971241466e-197,1
r_0978,0.0,1
r_0979,0.0,1
r_0982,0.0,1
r_0983,0.0,1
r_0984,0.0,1
r_0985,1.943201253605107e-291,1
r_0986,0.0,1
r_0987,1000,0
r_0988,3.2458365814978516e-87,1
r_0989,5.9405510682332185e-118,1
r_0990,0.0,1
r_0992,1.5558287222928107e-85,1
r_0993,3.0128413170144125e-39,1
r_0995,0.0,1
r_0996,0.0,1
r_0997,0.0,1
r_0998,1000,0
r_0999,1000,0
r_1000,2.5747217618336813e-77,1
r_1001,0.0,1
r_1002,1.7075852691898987e-219,1
r_1003,1000,0
r_1004,1.1135590641195054e-35,1
r_1005,4.808063528019499e-31,1
r_1006,1.1135590641195054e-35,1
r_1007,4.808063528019499e-31,1
r_1008,1000,0
r_1009,1000,0
r_1010,1000,0
r_1011,3.3730135171301677e-163,1
r_1012,3.3730135171301677e-163,1
r_1021,0.0,1
r_1022,0.0,1
r_1023,0.0,1
r_1024,1000,0
r_1025,6.689057938977989e-80,1
r_1026,0.0,1
r_1027,0.0,1
r_1028,1000,0
r_1029,1000,0
r_1030,1.5954348451499537e-44,1
r_1031,1000,0
r_1032,8.079971802626045e-206,1
r_1033,0.0,1
r_1034,0.0,1
r_1035,1000,0
r_1036,6.5246349332533145e-47,1
r_1037,0.0,1
r_1038,0.0,1
r_1039,2.563227786035536e-98,1
r_1040,1.2669152295990114e-108,1
r_1041,1.1074536674151895e-126,1
r_1042,0.0,1
r_1043,1000,0
r_1045,3.940634107229327e-57,1
r_1046,1000,0
r_1047,1.943201253605107e-291,1
r_1048,0.0,1
r_1049,0.0,1
r_1050,0.0,1
r_1051,2.9072419264174383e-71,1
r_1054,0.0,1
r_1055,4.345495980451331e-77,1
r_1056,4.815909762868713e-71,1
r_1057,0.0,1
r_1058,1000,0
r_1063,4.1438030953253813e-281,1
r_1065,0.0,1
r_1066,0.0,1
r_1067,1000,0
r_1068,1000,0
r_1069,1000,0
r_1070,0.0,1
r_1071,0.0,1
r_1072,5.240302360565852e-266,1
r_1073,2.291185356376246e-19,1
r_1074,3.9428616769124367e-119,1
r_1075,1.8441139269195565e-37,1
r_1076,0.0,1
r_1077,5.869310869011507e-18,1
r_1078,7.654224464977805e-89,1
r_1079,1.392882890916881e-68,1
r_1080,1.285628249485949e-62,1
r_1081,0.0,1
r_1082,1000,0
r_1083,0.0,1
r_1084,0.0,1
r_1085,2.0960876711480255e-105,1
r_1086,2.4380315212299877e-49,1
r_1087,0.0,1
r_1088,0.0,1
r_1089,0.0,1
r_1090,1000,0
r_1091,9.753793791849484e-92,1
r_1092,0.0,1
r_1093,1000,0
r_1094,0.0,1
r_1095,1000,0
r_1096,0.0,1
r_1097,0.0,1
r_1098,0.0,1
r_1099,4.6148738250850197e-293,1
r_1100,1.943201253605107e-291,1
r_1101,0.0,1
r_1102,0.0,1
r_1103,0.0,1
r_1104,1000,0
r_1106,0.0,1
r_1107,0.0,1
r_1108,7.180998871862658e-291,1
r_1109,3.716618901477681e-307,1
r_1110,0.0,1
r_1111,1000,0
r_1112,0.0,1
r_1113,2.810893557663416e-272,1
r_1114,0.0,1
r_1115,0.0,1
r_1116,4.026593932661217e-114,1
r_1118,0.0,1
r_1119,1000,0
r_1120,4.306106499302534e-22,1
r_1121,0.0,1
r_1122,0.0,1
r_1123,0.0,1
r_1124,0.0,1
r_1125,0.0,1
r_1126,0.0,1
r_1127,0.0,1
r_1128,3.787237997678725e-291,1
r_1129,2.822894087112923e-232,1
r_1130,0.0,1
r_1131,0.0,1
r_1132,0.0,1
r_1133,0.0,1
r_1134,1000,0
r_1135,0.0,1
r_1136,2.047660907522356e-66,1
r_1137,0.0,1
r_1138,0.0,1
r_1139,0.0,1
r_1146,6.67063711094039e-30,1
r_1147,0.0,1
r_1148,1000,0
r_1149,0.0,1
r_1151,2.977756357157729e-254,1
r_1161,0.0,1
r_1162,1000,0
r_1164,1000,0
r_1165,3.1852426034589847e-58,1
r_1166,0.0,1
r_1167,0.0,1
r_1168,3.4933587109680815e-67,1
r_1169,0.0,1
r_1170,1.752791520631837e-158,1
r_1171,1.2334272061593896e-253,1
r_1172,0.0,1
r_1173,7.335463659204943e-227,1
r_1174,1.622674587762678e-16,1
r_1175,9.007359530532438e-11,1
r_1176,0.0,1
r_1177,0.0,1
r_1178,0.0,1
r_1179,0.0,1
r_1180,4.7073463998816444e-54,1
r_1181,7.530673053613042e-66,1
r_1182,1.943201253605107e-291,1
r_1183,0.0,1
r_1184,1.9999122741476733e-57,1
r_1185,3.9801682088377127e-82,1
r_1186,7.27571396955708e-202,1
r_1187,7.987903448902316e-273,1
r_1188,7.987903448902316e-273,1
r_1189,0.0,1
r_1190,1.2994931048365282e-116,1
r_1191,1000,0
r_1192,1.2716360641329108e-270,1
r_1193,1000,0
r_1194,0.0,1
r_1195,0.0,1
r_1196,4.8109130161940115e-141,1
r_1197,0.0,1
r_1198,0.0,1
r_1199,0.0,1
r_1200,5.708687311030121e-11,1
r_1201,1.0741476600505887e-130,1
r_1202,0.0,1
r_1203,1.2437830339391861e-154,1
r_1204,0.0,1
r_1205,0.0,1
r_1206,1000,0
r_1207,1000,0
r_1208,1.0435484708427695e-281,1
r_1209,7.476341443841702e-215,1
r_1210,2.918429209689376e-274,1
r_1211,2.045770508420584e-102,1
r_1212,0.0,1
r_1213,7.182589676435518e-33,1
r_1214,5.112317247898703e-41,1
r_1215,0.0,1
r_1216,1.1373834351955756e-288,1
r_1217,2.437193716144213e-183,1
r_1218,2.1934350088438507e-97,1
r_1219,1.6879957790583272e-133,1
r_1220,0.0,1
r_1221,0.0,1
r_1222,0.0,1
r_1223,3.359667960949611e-181,1
r_1224,9.43978529074115e-81,1
r_1225,3.7177131691159555e-295,1
r_1226,3.1476071300908386e-195,1
r_1227,1000,0
r_1228,1.1653993722372843e-71,1
r_1229,0.0,1
r_1230,1000,0
r_1231,0.0,1
r_1232,1000,0
r_1235,0.0,1
r_1236,1.522205657185544e-19,1
r_1237,0.0,1
r_1238,1.6604681987178081e-267,1
r_1239,2.3840688627215925e-244,1
r_1241,5.4183426495252234e-58,1
r_1242,1.943201253605107e-291,1
r_1243,0.0,1
r_1244,0.0,1
r_1245,0.0,1
r_1249,0.0,1
r_1250,1000,0
r_1251,0.0,1
r_1252,1000,0
r_1253,0.0,1
r_1254,0.0,1
r_1255,0.0,1
r_1256,0.0,1
r_1257,1000,0
r_1258,2.142207748364804e-80,1
r_1259,1000,0
r_1260,8.147843722203484e-275,1
r_1261,1000,0
r_1262,0.0,1
r_1263,1000,0
r_1264,1.308546336675499e-135,1
r_1265,1.47906511797818e-181,1
r_1266,0.0,1
r_1267,7.531299102874231e-152,1
r_1268,1.2626566484841696e-145,1
r_1269,1000,0
r_1270,0.0,1
r_1271,1000,0
r_1272,0.0,1
r_1273,0.0,1
r_1274,0.0,1
r_1275,0.0,1
r_1276,0.0,1
r_1277,0.0,1
r_1278,3.124377826420259e-42,1
r_1449,5.84554511067775e-310,1
r_1450,0.0,1
r_1451,0.0,1
