,p,panduan
r_0001,1.101691134361795e-264,1
r_0002,7.405324177215651e-150,1
r_0003,0.0,1
r_0004,1.7927007185727903e-64,1
r_0005,0.0,1
r_0006,0.0,1
r_0007,2.699476299411546e-113,1
r_0012,6.0731421198494345e-199,1
r_0013,6.290736090567396e-229,1
r_0014,0.0,1
r_0015,0.0,1
r_0016,2.5889067362303044e-134,1
r_0017,0.0,1
r_0018,4.6148738250850197e-293,1
r_0019,8.809921523752476e-58,1
r_0020,0.0,1
r_0021,1.943201253605107e-291,1
r_0022,1.943201253605107e-291,1
r_0023,8.513941678114692e-291,1
r_0024,5.853278772774125e-63,1
r_0025,0.0,1
r_0026,3.7661704684362e-170,1
r_0027,4.6148738250850197e-293,1
r_0028,1.067830498088082e-258,1
r_0029,0.0,1
r_0030,1000,0
r_0032,0.0,1
r_0033,5.06186721339295e-52,1
r_0034,1000,0
r_0035,1000,0
r_0036,6.82502520421205e-70,1
r_0037,1000,0
r_0038,0.0,1
r_0039,0.0,1
r_0040,0.0,1
r_0041,3.675867349536918e-39,1
r_0042,6.945524287679924e-306,1
r_0043,1.943201253605107e-291,1
r_0044,1.943201253605107e-291,1
r_0045,0.0,1
r_0057,1.6447943635747166e-142,1
r_0058,0.0,1
r_0059,1000,0
r_0060,8.513941678114692e-291,1
r_0061,0.0,1
r_0062,0.0,1
r_0063,8.809921523752476e-58,1
r_0064,0.0,1
r_0065,0.0,1
r_0066,0.0,1
r_0067,0.0,1
r_0068,0.0,1
r_0069,1000,0
r_0070,1000,0
r_0072,1.5332795156222327e-28,1
r_0073,1000,0
r_0074,1000,0
r_0075,6.290736090567396e-229,1
r_0076,6.903878290994294e-126,1
r_0077,1.7954612464063384e-44,1
r_0078,0.0018659088085035704,1
r_0079,0.0,1
r_0080,8.613399176889767e-288,1
r_0081,0.0,1
r_0082,7.58770048521004e-39,1
r_0083,2.6638269486084816e-30,1
r_0084,0.0,1
r_0085,1000,0
r_0086,6.290736090567396e-229,1
r_0087,6.290736090567396e-229,1
r_0088,1000,0
r_0089,1.0355806348039103e-26,1
r_0090,9.445191380827563e-111,1
r_0091,0.0,1
r_0092,1000,0
r_0093,1000,0
r_0094,1000,0
r_0095,3.26856839964537e-307,1
r_0096,0.0,1
r_0097,0.0,1
r_0099,1000,0
r_0100,2.4544305347041758e-194,1
r_0101,2.8051127040920005e-25,1
r_0102,2.3679894025522203e-190,1
r_0103,3.9617740515088217e-247,1
r_0104,0.0,1
r_0105,1.6447943635747166e-142,1
r_0106,0.0,1
r_0107,0.0,1
r_0108,1000,0
r_0109,0.0,1
r_0111,1.0786914710211223e-148,1
r_0112,0.0,1
r_0113,1.7985613781642346e-55,1
r_0114,0.0,1
r_0115,0.0,1
r_0116,0.0,1
r_0117,1.067830498088082e-258,1
r_0118,0.0,1
r_0119,1.3672382202289756e-105,1
r_0120,0.0,1
r_0121,1.8999378819315882e-36,1
r_0122,2.8051127040920005e-25,1
r_0123,2.3679894025522203e-190,1
r_0124,2.4544305347041758e-194,1
r_0125,3.7838321963273067e-78,1
r_0126,8.757741084740857e-30,1
r_0127,5.521677727379489e-32,1
r_0128,2.470012608053179e-80,1
r_0129,1.4643259564200847e-21,1
r_0130,1.611386994281534e-50,1
r_0131,1.8245688506453978e-29,1
r_0132,5.1908453660279604e-39,1
r_0133,3.926792915182613e-39,1
r_0134,1.2699860467869198e-70,1
r_0135,7.673298847541415e-76,1
r_0137,1000,0
r_0138,4.3599567604400994e-35,1
r_0139,2.1010212793586628e-199,1
r_0140,3.979850804812355e-294,1
r_0142,0.0,1
r_0143,2.8794686048529353e-64,1
r_0144,4.588682496277593e-233,1
r_0145,6.290736090567396e-229,1
r_0146,1000,0
r_0147,5.06186721339295e-52,1
r_0148,0.0,1
r_0149,3.797117012376501e-41,1
r_0150,9.007359530532438e-11,1
r_0151,0.0,1
r_0152,1.2370587334610812e-111,1
r_0153,1.2370587334610812e-111,1
r_0154,0.0,1
r_0155,0.0,1
r_0156,1.1125667051761491e-214,1
r_0157,0.0,1
r_0158,0.0,1
r_0159,8.326797656829483e-132,1
r_0160,2.0836792840203337e-19,1
r_0161,9.737349923755931e-88,1
r_0162,0.0,1
r_0163,0.0,1
r_0164,0.0,1
r_0165,0.0,1
r_0166,0.0,1
r_0167,0.0,1
r_0168,0.0,1
r_0169,0.0,1
r_0170,0.0,1
r_0171,0.0,1
r_0172,1.8442312340371972e-246,1
r_0173,5.4556215370349265e-301,1
r_0174,5.598362868646145e-81,1
r_0175,0.0,1
r_0176,1000,0
r_0177,2.8763835724043656e-197,1
r_0178,2.8763835724043656e-197,1
r_0179,2.8694938004529557e-82,1
r_0180,5.0142170775972205e-92,1
r_0181,0.0,1
r_0182,0.0,1
r_0183,0.0,1
r_0184,0.0,1
r_0185,1000,0
r_0186,1.575562373443272e-48,1
r_0187,2.108264014255021e-105,1
r_0188,0.0,1
r_0189,0.0,1
r_0190,0.0,1
r_0191,1.8441139269195565e-37,1
r_0192,1000,0
r_0193,7.635328920564082e-23,1
r_0194,6.369686120043377e-47,1
r_0195,2.9072419264174383e-71,1
r_0198,1000,0
r_0199,1000,0
r_0200,2.7267605042587692e-83,1
r_0201,9.637396111968045e-52,1
r_0202,4.345495980451331e-77,1
r_0203,0.0,1
r_0204,3.6111692146577975e-52,1
r_0205,1000,0
r_0206,0.0,1
r_0207,0.0,1
r_0208,0.0,1
r_0209,0.0,1
r_0210,1000,0
r_0211,2.517194947580089e-175,1
r_0212,0.0,1
r_0213,1000,0
r_0214,0.0,1
r_0215,2.5716103145066e-310,1
r_0216,0.0,1
r_0217,0.0,1
r_0218,0.0,1
r_0219,2.5716103145066e-310,1
r_0220,0.0,1
r_0221,1000,0
r_0222,3.6111692146577975e-52,1
r_0223,1000,0
r_0224,1000,0
r_0225,2.699476299411546e-113,1
r_0226,0.0,1
r_0227,1.1348471321014557e-25,1
r_0228,1000,0
r_0229,1000,0
r_0230,1000,0
r_0231,5.342617704935385e-234,1
r_0233,0.0,1
r_0234,0.0,1
r_0235,0.0,1
r_0236,0.0,1
r_0237,0.0,1
r_0238,0.0,1
r_0239,0.0,1
r_0240,0.0,1
r_0241,0.0,1
r_0242,0.0,1
r_0243,0.0,1
r_0244,0.0,1
r_0249,1000,0
r_0250,0.0,1
r_0252,1.0807480205540192e-13,1
r_0253,1.1754696633518774e-05,1
r_0254,4.220271390622616e-08,1
r_0255,8.274170664005618e-26,1
r_0256,0.0,1
r_0259,0.0,1
r_0260,0.0,1
r_0261,0.0,1
r_0262,0.0,1
r_0263,2.1410241703247762e-61,1
r_0264,2.9118816322883504e-34,1
r_0265,3.363052871636894e-34,1
r_0266,2.8620044309653734e-24,1
r_0267,0.0,1
r_0268,0.0,1
r_0269,0.0,1
r_0270,0.0,1
r_0271,1000,0
r_0272,1000,0
r_0273,0.0,1
r_0274,0.0,1
r_0278,1.0130320168765542e-245,1
r_0279,0.0,1
r_0280,1.2474653132632065e-303,1
r_0281,0.9959450972049425,0
r_0282,0.9959450972049425,0
r_0283,0.9959450972049425,0
r_0284,0.9959450972049425,0
r_0285,0.9959450972049425,0
r_0286,0.9959450972049425,0
r_0287,0.9959450972049425,0
r_0288,0.9959450972049425,0
r_0289,0.9959450972049425,0
r_0290,0.9959450972049425,0
r_0291,0.9959450972049425,0
r_0292,1000,0
r_0293,1000,0
r_0294,1000,0
r_0295,1000,0
r_0296,1000,0
r_0297,1000,0
r_0298,1000,0
r_0299,1000,0
r_0300,0.0,1
r_0301,0.0,1
r_0302,1.2474653132632065e-303,1
r_0303,5.251947798055811e-290,1
r_0304,0.0,1
r_0306,2.3910656512655046e-187,1
r_0307,0.0,1
r_0308,1.524136553667105e-274,1
r_0309,1.3282233001931337e-187,1
r_0310,8.456246699624533e-134,1
r_0311,0.0,1
r_0312,6.107227728399432e-290,1
