,p
r_0006,0.30203358961401094
r_0013,0.3283139820970553
r_0014,0.22021330514870696
r_0018,0.16373498616719745
r_0019,0.4118769666372378
r_0020,0.09106143498808515
r_0023,0.13031310175712507
r_0025,-0.2495387239757705
r_0026,-0.07862233858250921
r_0027,-0.020537032666721314
r_0029,-0.30800204627046046
r_0032,-0.043231458614153534
r_0038,-0.0935150633430989
r_0039,0.03713393655312316
r_0040,0.03713393655312316
r_0045,-0.14372173989778955
r_0058,-0.288521065492003
r_0060,0.13031310175712507
r_0061,-0.16566966600572874
r_0063,0.009286551840608078
r_0065,0.03713393655312316
r_0066,0.04808481454627825
r_0067,-0.05528584543901288
r_0075,0.516724755671804
r_0079,0.22776365688171765
r_0081,-0.3605484601788152
r_0086,-0.04933557954574294
r_0087,0.28529684542215045
r_0091,-0.1610765871773274
r_0096,0.061611377644276336
r_0104,-0.3822612110077089
r_0109,0.16026866551988028
r_0112,0.05080898396867961
r_0114,-1.0826364791963672
r_0115,0.13137617519890166
r_0118,0.17364655501427564
r_0127,0.3722507034468712
r_0139,0.4096290610373149
r_0142,-0.39188666330055794
r_0144,-0.024447624706982016
r_0145,0.19080061040697857
r_0148,0.02690244216900648
r_0151,0.17137548936071514
r_0152,0.19968286059701348
r_0153,0.24535182368758612
r_0154,0.025067590864030872
r_0157,0.20098927883700238
r_0163,-12.332215533431597
r_0165,-0.2403473481387456
r_0172,-0.07691189744947205
r_0173,0.01825043526526243
r_0202,-0.08631845122700388
r_0203,0.14630702616849425
r_0207,0.024704446850506535
r_0208,0.04359224675690775
r_0212,0.1462254371670608
r_0214,0.1704530245398612
r_0215,-0.0008118257848932328
r_0216,-0.3692838780045928
r_0217,0.6975147107860408
r_0219,-0.2312651854967534
r_0220,0.060323682854529534
r_0225,0.12815240109208778
r_0231,0.2638486799478921
r_0234,0.2888183130691928
r_0235,0.2888183130691928
r_0236,0.09154247174363672
r_0237,0.09154247174363672
r_0238,0.533662067194031
r_0239,0.533662067194031
r_0240,0.533662067194031
r_0241,0.533662067194031
r_0244,0.7102870022686335
r_0250,0.06333698768668244
r_0278,0.09654655083356156
r_0279,-0.10247013285324548
r_0280,-0.046984532363440086
r_0300,0.11893963586719511
r_0302,-0.04698453236343806
r_0303,-0.04086967240852144
r_0307,-0.060480660526529305
r_0308,-0.04493402246284888
r_0311,0.10789287533473137
r_0317,0.23250100924128123
r_0330,0.11058182285929763
r_0347,-0.0009649131282730047
r_0348,0.05585509147706033
r_0349,-0.023823347456293456
r_0350,-0.0022916614808179848
r_0352,0.17192467235624867
r_0353,0.1719039996729301
r_0355,-0.014514301226621958
r_0361,0.15384322298656322
r_0364,0.1389617331256644
r_0366,0.07358696014199871
r_0441,-0.17694717994892475
r_0450,0.005472841729732576
r_0451,0.3336828454033251
r_0452,0.05264506012983007
r_0453,0.24602361253627275
r_0454,-0.01926637509808939
r_0462,-0.014514301226621958
r_0466,-0.05849140545212964
r_0467,-0.049321088934495654
r_0468,-0.04159667272334784
r_0471,0.06328797789166964
r_0473,-0.12447743537892567
r_0476,-0.15629997958656766
r_0478,0.15096663717589942
r_0479,0.11368961796418836
r_0486,0.01843624182843429
r_0489,0.35201611392345933
r_0490,-0.009559445169731593
r_0491,0.03596800043151099
r_0492,-0.006318534734271754
r_0499,0.14084467624131525
r_0501,0.09315408191704833
r_0502,0.10091763912339127
r_0503,-0.004333667221570297
r_0504,0.04390711414760408
r_0509,0.04390711414760408
r_0511,0.028236237410093568
r_0512,0.08624863553392505
r_0524,0.42623493331488754
r_0525,0.15271960184492717
r_0528,0.14231093393366834
r_0529,0.142309357165185
r_0534,0.03362581344013359
r_0536,0.17840459920553015
r_0537,0.27370839821453846
r_0538,0.16640157261209354
r_0539,0.3503563513503019
r_0542,0.06756166304977465
r_0545,0.15821424202356257
r_0546,0.011625276419078158
r_0548,0.04758297723438372
r_0549,0.18454415657629974
r_0553,-2.2524346896515484
r_0558,0.14570701393879068
r_0560,0.1519235300333123
r_0563,0.19419008564884865
r_0564,0.0017304759171168096
r_0566,0.17341892276021026
r_0569,0.031377759624390135
r_0570,0.14266483289167028
r_0658,-0.029584977078805173
r_0659,-0.33562434589280554
r_0662,0.45432604399891185
r_0663,0.037442345237991864
r_0665,0.22458597216871615
r_0667,0.1882892169018468
r_0669,0.06160496682833475
r_0671,0.06942541529921226
r_0672,0.055872079722443665
r_0673,0.05587207972244391
r_0678,0.1038724847909295
r_0694,-0.2683127061358851
