commonName,log2relT
TPA1,0.0182272
PCL6,0.0139842
THO1,0.0012737
DOT6,-0.0407839
PTC2,-0.0483
IES5,0.1646786
UBP9,-0.031413
UBC6,0.004707
NUP157,0.1088223
MAM1,0.0669287
KAP123,0.1742509
SWI4,-0.0663759
SLX8,0.4840097
SCS2,0.0702256
YCK3,0.3102
SAK1,0.1065
PMD1,0.2166575
YER137C,-0.0355526
RTR1,0.1392587
MAG1,-0.0220749
UBP5,-0.0843374
UBP3,0.2500817
SPT2,0.055
RAD4,0.2270747
CHD1,0.004
BCK2,0.0741619
RAD24,0.2464529
GRX4,0.0661459
ECM32,-0.0258478
BMH1,0.0320104
DMC1,0.0635275
DEG1,0.2966866
BLM10,0.2173917
IES1,0.175651
HSP12,0.0138944
GAT1,-0.0211141
RIM15,0.0067
RPO41,0
OTU1,0.0863603
SWP82,0.0083929
YFL052W,-0.0343661
LOC1,-0.1658192
UBP6,0.0703893
IOC3,0.041
CMK1,0.0576
FAB1,0.0156
PES4,0.0331426
MET10,0.1251869
PHO4,-0.0846901
CDC26,0.1175696
IRC5,0.021384
SAP155,0.073
CNN1,-0.0167076
CDH1,0.1643164
RPN14,-0.0797791
PDR1,-0.0305923
PUF4,0.0679041
KAP122,0.1404198
CKB1,0.168
ALK1,0.0687
PIB2,0.054121
CGR1,0.1352484
HOP2,0.0161485
MIG1,0.2352165
PNC1,0.0071319
DST1,0.0647472
TIF4632,0.027434
RAD6,0.5758603
YBP2,0.0279435
PYC1,-0.0346079
SGF73,0.2189541
RPB9,0.9898006
AFT1,-0.0656893
DBP3,0.3650102
YGL082W,-0.1397539
SCY1,0.0153
LCL3,0.077653
MMS2,0.0244946
PAN2,-0.0522945
TOS8,0.1398623
SEH1,0.1304378
SNF4,-0.0094603
MET13,-0.0136125
SNT2,0
ITC1,0.0871711
PCL10,0.0050939
HUL5,0.0045014
RCK1,-0.0562
SUT1,-0.0029113
RAD54,0.1562405
CUP2,-0.0460807
HUR1,0.3193624
BUD13,0.3722013
MPT5,-0.0120104
TOS3,0.1126
ATG1,-0.0166
GTS1,-0.0293156
IME4,0.0238793
HOS2,0.0744854
MDS3,-0.1169114
SIP2,0.0389941
MIG2,-0.0274807
CLG1,0.006625
KIP3,0.0645069
FRA2,0.0247939
EDC1,0.142
VID30,-0.0288549
SAP4,-0.0596429
TAN1,0.2310265
HAP2,0.166682
DOC1,0.7080209
KAP114,0.0432121
TAD1,0.0145902
RTF1,0.3604919
RAI1,0.916596
HFM1,0.4388892
RTG2,0.1761197
HXK2,0.0690416
FZF1,-0.0159882
PAU11,0.0442946
CUL3,0.0460964
UGA1,-0.0028247
YGR021W,-0.0028893
KSS1,-0.0445
RME1,-0.016534
FMP48,0.0323
RSC1,0.3135271
SPT4,0.415
UPF3,0.0955664
TWF1,0.0463
SLX9,0.2987109
PIL1,0.0247708
NNF2,-0.0037449
ASK10,0.1454881
CLB1,0.0453217
CLB6,0.1011039
PPT1,-0.0205
SYF2,-0.0406867
PEX4,-0.0542616
CAF130,0.1522773
PRE9,0.4461179
RSR1,0.1029448
CHO2,1.560778
RTS3,0.023
RBG2,0.0138262
PBP1,0.052
RNR4,0.3302266
UBR1,0.005
ELP2,0.2947433
AMA1,-0.0998639
SMI1,0.0874306
NAS6,0.0050532
PHO81,0.1299557
YHB1,-0.0950347
CPD1,0.0881964
MGA1,-0.0092778
YGR250C,0.0268703
GCN5,0.509
YTA7,0.2122807
EFG1,0.6323345
RTT102,-0.1134751
RNH70,0.0696792
YGR283C,-0.0095543
MAL13,0.0877121
SHU1,0.0984278
STE20,0.086
YAP3,-0.106814
OPI1,0.3847851
SPO11,-0.0639158
RIM4,0.0562475
RIM101,0.0315418
OCA5,0.1535305
YHR003C,-0.0611835
NEM1,0.0102
SPO13,-0.0662386
MIP6,0.0120762
THR1,1.145851
SLT2,-0.047
RRM3,0.0128359
YHR033W,0.0556454
PIH1,0.3161473
SSF1,0.2691541
PCL5,0.1405265
PTC7,-0.0288
NMD2,0.1337708
IRE1,0.0217
LRP1,0.5618789
KSP1,0.0397
STE12,-0.0039939
GGA2,0.0236126
SET1,0.0560791
MSH1,0.1935852
LSM12,0.0858851
NDT80,-0.008641
WSS1,0.1035764
YCK1,0.0234
DSE2,0.0330583
CRP1,-0.0065219
SPO12,-0.0683979
RTT107,0.10318
LIN1,0.0162075
REC104,0.0078202
THP2,0.0683458
CTF8,0.156469
EGD2,0.103951
NVJ1,0.0045583
RPN10,0.2680178
YHR202W,-0.0988367
SKN7,0.0840643
YIL001W,-0.05576
URM1,0.1848092
EST3,0.3027155
