orf,SC,SM,YPD
YBL071C-B,0.732005994,0.589695274,0.811504847
YBL071W-A,0.656465068,0.472757589,0.573915878
YBL072C,0.777316002,0.653531454,0.86464058
YBL075C,0.913627486,0.966314698,0.952602171
YBL078C,0.896012856,0.961651491,0.970374221
YBL079W,0.898671532,0.955622161,0.840455623
YBL080C,0.857471253,0.763669799,0.765136421
YBL081W,0.930017419,0.799705831,0.981606967
YBL082C,0.713352756,0.727551878,0.754635317
YBL083C,0.734852174,0.754964645,0.916818857
YBL085W,0.899688677,0.927400593,0.994258791
YBL086C,0.932609795,0.96106803,1.011567244
YBL087C,0.713725859,0.766648904,0.743188854
YBL088C,0.956982624,0.998471902,0.92793894
YBL089W,0.959031785,0.925504655,1.002517673
YBL091C,1.008441847,1.00655993,1.035046653
YBL091C-A,0.978653432,1.015594931,1.014823434
YBL093C,0.859467826,0.597820948,0.772613801
YBL094C,0.950526338,0.950378194,1.053813584
YBL095W,0.987087288,0.989305956,1.019767307
YBL096C,1.037180356,1.018234159,1.041688973
YBL098W,0.925703816,0.89029404,0.919695645
YBL099W,0.993604471,0.955256554,1.006001527
YBL100C,1.006409376,0.96986449,1.068300617
YBL101C,0.968714356,1.016462951,1.03259663
YBL101W-C,0.982436399,0.94534785,0.974391137
YBL102W,0.892472484,0.931147902,0.986739653
YBL103C,0.68966266,0.421717257,0.86200348
YBL104C,1.046423896,1.010462644,0.990109586
YBL106C,0.804209947,0.803064167,1.000900293
YBL107C,0.864068732,0.912780554,0.934579346
YBR001C,1.002404702,0.936900659,1.011370335
YBR003W,1.021138412,1.007170948,1.05459432
YBR005W,0.989725544,0.95286311,0.94797606
YBR014C,0.950108586,0.931946215,0.983640337
YBR015C,0.883630086,0.867331233,0.979237904
YBR016W,0.980218987,0.970671471,1.006264486
YBR018C,0.996917367,0.97068846,0.974360893
YBR019C,0.935753561,0.916856199,0.950275528
YBR020W,0.988927673,0.980702846,1.024295326
YBR021W,0.879740262,0.821443772,0.934799723
