commonName,log2relT
MET31_MET32,1.77102743023984
ECM22_UPC2,0.997117491466879
HAC1_RPN4,1.15521264992094
NHP6A_NHP6B,1.15200309344505
MIG1_MIG2,0.664288089679538
GLN3_ISW2,0.717856771218502
GLN3_HAA1,0.65744525452268
RPI1_ZAP1,0.703689439291908
ISW2_STB5,0.746615764199925
FKH1_FKH2,0.169744675832317
MIG1_STB5,1.04692104738749
HMO1_ROX1,0.946193556304206
GAT4_HMO1,0.857259827883918
CAD1_YAP1,-0.01292617444427
RGM1_USV1,0.172993990361023
CBF1_HAC1,0.744197163397282
YFL052W_YPR196W,0.0573916638883368
GLN3_RIM101,0.579921884020626
CUP2_HAA1,-0.0370307309449671
SNT1_SPT2,0.354759487354735
CUP9_RPN4,0.128156351490682
STP3_STP4,0.0424567992428949
DAL80_GZF3,0.00288827932482635
TDA9_YGR067C,0.0144995696951152
MSN2_YAP1,0.0232697793228473
DOT6_TOD6,0.0350469470992006
MIG2_YGR067C,-0.0538064436957938
YRM1_YRR1,0.0588936890535686
HAC1_SNT1,0.163267919540864
ISW2_RPN4,0.109358756036556
GAT1_GLN3,0.373327247394007
YHP1_YOX1,0.0619024389259069
CBF1_TYE7,0.734563103950902
ECM22_SIP4,0
MIG1_MIG3,0.181149439104566
CBF1_MAL33,0.573466861883327
MIG1_YGR067C,0.0174170530774094
MSN2_MSN4,0.0130430374755988
ECM23_GAT3,0.0785636691937023
GLN3_SUM1,0.345564459154601
CBF1_SUT2,0.522840788813359
NRG1_NRG2,0.0101343771337131
GAT3_GAT4,-0.0299828662157143
CUP9_TOS8,-0.0538064436957938
MET28_YRR1,-0.0468402542029723
RSF2_TDA9,0.0800879113226918
STB4_YAP1,-0.0356239097307212
NSI1_RPN4,0.136061549576028
RPN4_SNT1,0.254977850962736
ECM23_GAT4,0.0188780102056895
MAL13_MAL33,0.00578235259400618
MSN2_PPR1,0.0800879113226918
CIN5_YAP6,-0.150559676575381
GAT1_GZF3,-0.111031312388744
PHO2_YOX1,0.0424567992428949
RLM1_SMP1,-0.0799753767205958
MIG2_MIG3,-0.0758748669751276
ASG1_RPN4,-0.0313951962755344
DAL81_UGA3,0.0188780102056895
FKH1_HCM1,-0.028569152196771
HEL2_RPN4,0.22431729826094
GZF3_STB5,0.272297327162762
NHP6B_PHO2,-0.0200576523412534
CAT8_YPR015C,-0.0186341741390509
GIS1_RPH1,0.0232697793228473
SIP4_YER184C,-0.0908534304511135
GLN3_ROX1,0.121863233373052
MIG1_RPN4,0.0484122051852459
GLN3_MIG1,0.160040412510468
GLN3_GZF3,0.0159575739029763
LYS14_RPN4,-0.0370307309449671
CST6_MAL13,0.338250400189295
MET31,-0.028569152196771
HAC1,-0.0635029423061579
NHP6A,0.131313234677865
CAD1,-0.136191386287144
TDA9,0.0484122051852459
NSI1,0.0380063225797451
HEL2,0.204233052217608
STB5,0.45600928033515
YAP1,-0.0328061450832414
YPR196W,-0.0607391578576786
YGR067C,-0.138814468902282
NRG2,0.0203404482841756
RPH1,0.0831412353002459
YER184C,0.125006361067033
