Accession,Gene,NH4,Gln,Phe,Ile
P32328,DBF20,31.21492745,44.09306178,59.26759937,52.80469999
P32329,YPS1,6.363679305,7.217982886,11.54346346,9.412557604
P32330,DGR2,1.837314018,2.104830692,2.578379148,2.534447263
P32331,YMC1,708.7642771,977.7259149,1383.537022,1564.051798
P32332,OAC1,1063.81276,1632.162594,2050.488104,2344.512778
P32335,MSS51,191.9104895,295.648522,367.8163901,460.1577507
P32336,NUD1,1.053842937,1.217064358,1.657984459,1.906375011
P32337,PSE1,248.283623,344.97026,471.1551174,426.3990739
P32339,HMX1,37.69406733,65.78313224,87.1859849,94.25906736
P32340,NDI1,181.5480525,338.6068848,407.3597583,484.2016668
P32341,VPH2,14.24819558,21.03630204,27.53390362,26.73360739
P32342,SRP21,49.76104633,64.25162923,83.73673477,89.03164996
P32343,SSH4,2.030808402,3.744044473,4.296654261,4.846372958
P32345,PPH3,7.090225748,9.423219046,13.99223376,12.94010614
P32347,HEM12,64.78448711,97.18023092,124.8827815,136.8799176
P32349,RPC82,74.60601379,102.6829547,146.5664214,121.0144794
P32350,KNS1,13.29497257,14.12895113,20.073879,18.20386077
P32353,ERG3,320.642209,347.5116146,532.2877343,689.3057647
P32356,NTH1,74.3131131,103.770615,128.4572945,171.6498725
P32361,IRE1,0.828610357,0.857794494,1.206511617,1.239485475
P32364,SMY1,47.27383944,70.14335912,84.94144318,96.70485982
P32366,VMA6,452.7517327,706.123216,796.2344705,1399.423353
P32367,TFC1,15.02710491,21.04141025,28.9931335,30.8188331
P32368,SAC1,92.7556991,130.4106441,174.7348796,176.9799899
P32377,MVD1,200.2017931,346.0564932,393.4881461,430.314521
P32378,COQ2,21.03170675,32.28658455,50.37275599,79.01350043
P32379,PUP2,682.3962744,1426.48095,1405.521602,1030.55918
P32380,SPC110,14.31756729,17.55305872,27.99254844,23.09524097
P32381,ARP2,774.7394511,968.6203479,1264.570069,1566.161717
P32386,YBT1,79.17396723,109.9342485,152.6017194,187.8051244
P32387,MRP20,57.99952898,98.56902021,122.5812871,161.107793
P32419,MDH3,2063.035106,3596.131335,3988.6142,4448.53005
P32445,RIM1,2601.359671,5511.925067,5487.486871,6620.918214
P32447,ASF1,110.5507659,190.2248292,233.5276711,220.1703702
P32449,ARO4,406.5901455,577.272121,769.2835492,1150.68979
P32451,BIO2,56.93453475,118.4262885,144.9445538,128.1643112
P32452,PHA2,65.96346347,75.02200902,92.87803929,88.30475538
P32453,ATP11,295.0048402,391.8922906,554.5958479,614.4397513
P32454,APE2,755.5815956,1192.848572,1393.236832,1740.628387
P32457,CDC3,52.94643425,100.1234302,113.2986807,118.8529646
P32458,CDC11,11.96137744,16.78086004,22.31684191,25.98411255
P32460,DCG1,32.43403225,74.6489995,88.04913904,109.2826198
P32461,DPH2,865.9677797,1075.87799,1528.323783,1261.967255
P32462,ERG24,5.832491146,7.179447351,10.80954651,10.91784639
P32463,ACP1,293.8080579,1118.428609,894.3089577,912.9893013
P32464,HYM1,12.38365877,19.50789157,28.27715629,27.43989132
P32468,CDC12,422.2672165,635.5026931,780.9157455,925.2422063
P32469,DPH5,362.9285254,692.4567389,717.4131713,626.1014223
P32471,EFB1,424.1598859,600.9146285,619.2833061,665.1472986
P32472,FPR2,61.14402445,66.74550246,97.34665481,158.4387715
P32473,PDB1,2041.801104,3152.383895,4129.114088,5858.130982
P32474,EUG1,14.88634063,26.65139423,36.21120313,39.87681985
P32476,ERG1,179.3403849,196.777726,247.6432331,337.0891084
P32477,GSH1,83.10324125,87.26844227,115.9875568,111.6077504
P32478,HSP150,4694.318006,5340.280312,6566.356013,10838.80344
P32480,HIR2,2.120872906,3.576782884,3.860311082,4.167882522
P32481,GCD11,765.4701171,956.2506038,1176.128503,1452.124679
P32485,HOG1,138.3488004,160.6714128,184.6114382,305.6626756
P32486,KRE6,34.70350303,36.37708389,53.42704127,67.79896484
P32487,LYP1,9.518503475,9.520065712,13.97717528,18.25374319
P32490,MKK1,4.862036019,7.738603241,11.23126239,8.286182172
P32493,AEP1,8.782407996,12.70295619,19.40921135,16.06250563
P32494,NGG1,9.842201779,11.17675545,14.50375856,14.20570072
P32496,RPN12,327.6985079,426.0552884,481.6204404,664.1728542
P32497,NIP1,415.7363136,666.694646,834.8963417,775.4014619
P32499,NUP2,335.3876546,491.0541388,532.9116324,644.4879812
P32500,NDC1,137.2100869,160.8785086,220.7986905,237.0041696
P32501,GCD6,32.98406573,43.93187153,66.70567923,79.63587216
P32502,GCD7,60.75233501,99.56105683,117.0334484,125.2168418
P32504,CBF2,11.44252785,14.54559319,21.12230306,18.2872599
P32505,NAB2,143.7115242,160.4761546,205.0276125,238.1050352
P32521,PAN1,106.5178563,168.9274708,197.6861514,247.1290842
P32523,PRP19,83.41301096,98.43618627,118.0613601,120.3565941
P32525,ECM25,31.41591727,35.26713367,56.78107846,72.74798069
P32527,ZUO1,1365.671472,1834.675762,2157.597564,2386.58478
P32528,"DUR1,2",1130.749642,1435.778841,1741.69413,1880.269098
P32558,SPT16,229.7623321,274.9532172,363.0010838,381.7036111
P32559,MSS1,4.017402174,6.997577107,6.268890742,5.240937401
P32561,RPD3,26.26699004,24.37283461,30.61169379,42.96465956
P32563,VPH1,392.9652014,560.5040582,733.7544269,781.6675928
P32564,SCM4,24.84710352,39.38388841,50.43272874,50.29148982
P32565,RPN2,1044.89448,1365.117101,1663.962766,1843.894231
P32567,PAH1,14.9421261,17.31008006,26.76826502,29.04526282
P32568,SNQ2,23.69161321,33.1899523,57.88432204,57.72736344
P32569,SRB4,0.332624615,0.46025839,0.590700752,0.500304318
P32578,SIP1,4.101052652,4.375671813,4.945685703,2.70509646
P32580,SUV3,0.198076412,0.290002694,0.380052705,0.367015344
P32582,CYS4,6625.200032,8935.143552,11199.2838,14471.26786
P32588,PUB1,1926.194277,1642.202987,2198.395792,2877.774957
P32589,SSE1,5205.469088,6958.136046,8227.391262,12722.84705
P32590,SSE2,608.8792857,811.0400383,970.4067313,1240.171477
P32591,SWI3,90.21243634,120.2734813,167.6791895,182.2895682
P32597,STH1,21.97537075,30.80889597,41.45449859,43.647282
P32598,GLC7,249.8234663,313.4641317,368.2168481,435.6343862
P32599,SAC6,976.2587394,1419.416792,1816.057636,1791.370684
P32602,SEC17,275.0184704,432.6814064,484.4774671,497.869519
P32604,FBP26,61.69603692,79.3454088,107.7535384,109.3791575
P32605,MUD1,1.049684296,1.015888309,1.460171973,1.542208591
P32606,PET127,4.747165765,7.019884875,9.464247255,9.826039755
P32608,RTG2,67.33254832,84.29139707,112.0517011,134.4261583
P32609,PEP7,3.89783728,4.065785641,6.020568021,5.284939667
P32610,VMA8,265.7961429,390.7409047,544.7186019,576.6036354
P32614,FRD1,1006.287737,1017.180753,1413.109203,1292.719718
P32617,IES6,86.14185901,100.0054797,128.2482241,139.1145303
P32618,YEL043W,1.755280867,3.72229515,6.819230503,6.82348361
P32621,GDA1,2.925258239,11.51976549,15.97189111,17.71864421
P32622,YEF1,0.676404419,0.851477214,1.25857806,0.793643571
P32626,UTR4,59.50421436,73.91762211,90.9605601,97.58334729
P32628,RAD23,287.9410047,173.6542332,538.155025,372.8963291
P32629,ANP1,5.66309718,7.391433027,9.036630014,11.81106748
P32642,GRX4,144.3607607,184.3851534,227.7496479,210.0068044
P32643,TMT1,2.007002183,2.723172126,3.68455264,6.904672366
P32644,ECM32,11.97800803,11.95698036,17.96429496,14.68784902
P32656,GCG1,4.123412614,5.800687444,7.916518113,8.355672744
P32657,CHD1,34.49633118,42.17160854,60.30687075,59.3119008
P32660,DNF1,20.57409263,26.37434582,35.18929951,39.62446883
P32769,HBS1,8.618582248,11.50230916,14.78652111,16.71686346
P32771,SFA1,219.8474827,223.6930343,302.6354219,383.2938303
P32774,TOA2,476.147603,532.7237903,618.9263256,1079.938957
P32775,GLC3,83.30145727,107.471665,122.6306118,170.4683521
P32776,TFB1,3.027669663,4.079034081,5.432743647,5.20138329
P32783,ABD1,28.71824125,34.58257839,47.67497124,47.46322934
P32784,SCT1,16.69378482,23.88854694,31.85188951,31.6014034
P32787,MGM101,8.812049202,14.07886338,15.69534931,17.66012547
P32788,YBL010C,11.57462673,15.26272525,20.24352594,25.92243239
P32790,SLA1,137.1921524,163.245817,215.4834296,228.4519599
P32792,YSC83,147.2108966,227.1606581,317.3632835,338.0810751
P32793,YSC84,672.8278761,897.2650472,1143.01175,1192.610016
P32794,AFG2,27.31357294,32.72340305,42.4622895,62.04885425
P32795,YME1,82.61612041,110.4484159,138.8780394,172.9282628
P32798,COT1,47.55961907,33.93920457,62.30610808,49.73560904
P32799,COX13,1626.892814,2531.393376,3288.751346,3893.977321
P32800,PEX2,97.24535035,156.2477397,219.7304327,198.4054769
P32802,EMP70,90.52776107,111.3489974,142.0820708,160.1722262
P32803,EMP24,2.17475956,5.338427549,5.673494915,7.109804877
P32804,ZRT1,95.59196968,91.27185537,159.4951703,234.5721072
P32805,FZF1,67.13968608,74.45903851,105.8744182,106.5541676
P32806,GYP6,3.277643603,4.943561902,6.658888027,6.232236409
P32830,TIM12,27.06212318,23.55506703,27.55572207,21.22052202
P32831,NGR1,64.13570827,72.60906794,98.48984165,126.4941287
P32832,NPL6,48.48389264,69.4458457,98.32965558,115.402128
P32836,GSP2,1429.708746,2461.311583,2733.672073,3301.158082
P32839,BCS1,5.464446202,8.166480395,10.68194567,11.7482537
P32843,YME2,263.2393653,417.704438,507.0833882,532.4318988
P32844,SEC6,17.12972806,23.6184497,32.13385971,26.65899913
P32849,RAD5,0.92733082,1.087219215,1.612856024,1.478424498
P32854,PEP12,42.0198406,52.78767114,66.86325607,91.74564726
P32855,SEC8,13.03452178,22.28310159,33.02705029,26.28903198
P32857,PTM1,16.06570945,22.28270838,31.81842782,36.90566072
P32860,NFU1,86.51342633,165.3678953,155.613629,108.8240532
P32861,UGP1,575.5530467,909.647821,1276.734233,1519.247526
P32862,RGT1,4.570357086,6.688241921,9.297476415,7.524968739
P32863,RAD54,0.483509199,0.481099188,0.749003905,0.650963479
P32864,MRS6,14.15247293,17.39012808,25.76184811,24.61674661
P32873,BEM3,4.553913641,5.750203802,7.774462012,8.772869923
P32874,HFA1,330.0191331,342.9640039,473.2346363,473.1132956
P32875,LIP5,105.9055731,172.6436016,218.4783883,277.6267688
P32891,DLD1,98.06879574,142.7158077,195.0691417,279.5231331
P32895,PRS1,76.01741786,111.4656562,134.1551478,149.360148
P32896,PDC2,27.22734591,34.29589867,44.87055476,59.69016298
P32898,CYM1,38.65392367,56.75430872,73.18139883,72.84505667
P32902,MRP4,43.33617677,83.95310619,104.1533232,116.2088519
P32904,MRPL6,12.18190343,20.61513296,24.51789244,30.29780734
P32905,RPS0A,3831.313787,5688.792798,6037.41539,7764.85606
P32906,MNS1,1.394156343,1.875539832,2.407558403,2.53771446
P32907,ATO2,3.214667002,11.7143271,18.18673002,10.01576181
P32908,SMC1,6.198599857,8.554013226,11.16048649,8.778292135
P32911,SUI1,1.097932999,2.227870291,2.088633957,4.109853009
P32912,VAM7,25.55229198,27.24919765,39.2898357,39.70822914
P32913,VPS17,96.82213735,118.7952817,167.2039099,193.629496
P32915,SEC61,275.3183777,370.3953424,493.2863477,538.0888602
P32916,SRP101,165.1399975,186.8416024,250.4819284,242.5043241
P32917,STE5,1.122247987,1.603758099,2.500193759,2.049452339
P32939,YPT7,752.299324,765.884313,947.5728536,909.2303129
P33201,MRT4,54.35924648,76.82183812,97.97024776,144.4150486
P33202,UFD4,17.53310011,19.26035674,29.88877418,32.9483922
P33203,PRP40,3.906376789,4.379244809,6.166667727,7.054192267
P33296,UBC6,5.971652087,16.09276683,21.14918683,0
P33297,RPT5,316.0015039,424.8601172,521.7791087,654.9955351
P33298,RPT3,593.1879192,684.5867811,895.1315664,1149.233819
P33299,RPT1,1356.785115,1826.035255,2369.884081,2920.022571
P33302,PDR5,14.04832786,17.4167569,23.85730423,28.20963023
P33307,CSE1,152.71246,180.2219911,265.6716554,222.6177307
P33308,CSE2,124.503242,137.0547921,200.0211755,284.80173
P33309,DOM34,42.60954078,56.96951166,78.07439713,78.51180732
P33310,MDL1,26.13904939,43.70747316,55.33768684,59.36434933
P33311,MDL2,0.71683122,1.249027151,1.569091382,1.668012495
P33312,RIB7,15.39020335,18.76876887,24.29601613,23.30768053
P33314,BUD2,20.49483266,25.78574597,38.56605442,33.9740746
P33317,DUT1,3907.802969,3479.940326,5365.05891,2618.718338
P33324,YKL091C,490.9570399,524.7761798,765.5282119,498.7366447
P33327,GDH2,205.4342818,661.9939202,856.5173139,2094.639424
P33328,SNC2,59.85590524,86.20041822,115.9385315,103.9007392
P33329,PPZ2,38.79150986,50.86044177,70.35727531,74.00535741
P33330,SER1,599.6049635,848.1694378,1119.570109,1482.287642
P33331,NTF2,3875.062283,6453.893362,6739.516562,12920.6437
P33332,SEC3,11.82948691,13.85298377,19.57060462,17.44063808
P33333,SLC1,262.4744134,373.720068,503.869966,543.4475972
P33334,PRP8,7.663000161,10.25570632,14.14335375,14.181527
P33336,SKN1,3.996720309,3.65364162,10.33525696,7.930171567
P33338,SLA2,195.1385631,278.1856292,380.4277477,339.3252439
P33339,TFC4,34.69491223,42.81022025,59.98161431,56.14101449
P33399,LHP1,158.1830945,258.1103818,304.6855982,389.2751946
P33401,PGM1,670.8626619,928.5575181,1219.820856,1280.839939
P33411,PRP18,1.247638031,1.60157729,2.046085685,1.46882474
P33416,HSP78,1543.076418,1822.799715,2556.49686,3454.098327
P33417,IXR1,82.62219098,122.2324043,145.1821452,177.7263968
P33421,SDH3,139.0404701,265.9515399,363.312338,271.6452901
P33441,MFT1,61.44920189,101.9511671,129.7013954,110.8042109
P33442,RPS1A,25213.91014,34981.89571,45516.09822,54717.09919
P33734,HIS7,176.3364474,233.7671059,269.9349514,464.6134199
P33753,TRM2,30.40775107,33.12956304,42.07066193,54.05568522
P33755,NPL4,11.58545585,12.89312368,16.33170118,16.97219732
P33759,MRPS5,53.21049079,80.31192128,104.2985849,126.7676494
P33760,PEX6,5.550133826,6.861101866,10.01962176,9.947812412
P33767,WBP1,155.3526042,244.1136562,282.8443329,344.8071216
P33775,PMT1,25.21616018,35.05259289,44.88875687,48.34243865
P33891,TIP20,41.35928188,50.86081274,71.72812492,79.63295601
P33893,PET112,1.746231077,2.599603094,3.435479788,2.546003427
P33894,STE13,3.517351644,4.334969781,6.620784404,6.387575521
P33895,NUF2,6.129339502,7.184885553,9.408247687,7.544661418
P34072,MKS1,25.61118567,29.60721404,37.99239143,36.90374387
P34077,NIC96,113.4355755,154.0956528,194.0213164,223.1394572
P34087,RPB7,872.4783208,924.6352461,1140.735928,1070.434627
P34110,VPS35,35.5762732,45.33676471,65.32389269,49.60220756
P34111,TFC3,11.10921292,14.24664139,21.4849873,17.71222203
P34160,STO1,153.7214914,212.2540695,286.736628,266.2021123
P34162,SRB2,10.03927162,14.68530873,21.29920754,21.85009174
P34163,TGL1,131.4938838,149.3314792,217.3746532,173.5217014
P34167,TIF3,613.8966566,668.2002683,835.6354614,990.7305365
P34216,EDE1,67.74379004,103.1594225,111.6755692,180.9202063
P34218,SAS3,1.593455507,2.127496432,6.194864992,3.980087799
P34221,PTC3,8.108556613,10.19258757,13.8347596,15.50874393
P34222,PTH2,20.98298827,32.80245881,41.33138351,54.88598981
P34223,SHP1,32.46171952,84.41247557,58.84827927,69.45440923
P34226,SKT5,3.099710802,3.512494874,4.494484162,4.374944731
P34227,PRX1,5126.744209,6112.813803,7414.758342,6949.507476
P34230,PXA2,0.782502734,1.635795826,1.895655294,2.53741364
P34233,ASH1,47.66855421,56.58631569,88.55261958,86.60816586
P34237,COY1,999.8562195,1437.891749,1896.278487,2091.064751
P34243,HCS1,4.534051283,6.033074784,8.09674733,9.422121116
P34244,HSL1,5.871196628,6.577370971,8.942060526,7.897512223
P34248,YKL100C,8.175396747,9.961589103,14.27115255,11.87381138
P34253,KTI12,71.38942275,77.55348637,116.3881964,123.2005157
P34730,BMH2,16471.42171,23475.34572,22952.12767,30159.339
P34756,FAB1,2.907488898,3.281176846,4.923768447,4.878410312
P34760,TSA1,23198.31175,34609.04579,38289.40621,67054.45304
P34761,WHI3,83.51759958,127.9111708,141.391457,208.3809
P34909,MOT2,11.36557082,15.18520046,17.50645016,26.28041437
P35056,PEX5,7.007886063,7.652432201,12.70203634,15.28267545
P35172,NTH2,12.64194473,17.6082372,22.75099396,28.58466528
P35177,SPT7,6.367724623,7.932553674,11.11750959,10.74049998
P35178,RRP1,32.07945449,43.73352693,59.99681412,52.78630977
P35179,SSS1,1994.975403,3417.020897,4019.907785,4993.035069
P35180,TOM20,335.7398114,742.814451,993.0967145,848.7812001
P35181,APS1,163.9821381,130.8134641,212.8070466,307.2816327
P35182,PTC1,2.908362482,3.880139354,6.012818215,6.507886877
P35183,AST1,4.878708007,3.638602243,3.604393167,0
P35184,SQT1,0.538839519,0.96085629,0.962549405,1.051699721
P35189,TAF14,75.0325291,102.5578822,107.0902183,155.3593151
P35191,MDJ1,1.104894118,1.336129377,1.637472194,1.793813848
P35192,MAC1,2.044829119,3.141632348,4.62734058,3.056316783
P35196,RER2,6.084834771,7.188526619,11.45345559,12.83890635
P35197,GCS1,62.13532787,73.68684253,92.92353046,114.0071069
P35202,THI80,36.78830757,48.14963443,59.93983456,79.22097841
P35206,CSG2,16.25442149,23.58702741,30.87373575,32.50041095
P35207,SKI2,29.18958087,37.33867315,52.04113371,48.04770115
P35210,SPT23,1.307685754,1.54656927,2.20562226,2.174020934
P35688,LRG1,3.935707542,4.977514618,7.280466258,6.622632152
P35691,TMA19,31689.15445,54207.58863,74155.37205,77096.57159
P35718,RPC25,91.85970774,123.2337449,176.5858849,151.0697159
P35719,MRP8,303.2840393,433.4119282,507.6028587,448.3582711
P35723,YET1,238.0422433,440.7451379,550.2617331,493.372323
P35724,MNR2,4.373953102,5.51707569,7.032436314,8.28159846
P35725,YKL063C,1.852107054,2.279461424,3.309811784,3.277331804
P35728,MPE1,11.00591892,8.914665419,11.60509875,16.14142553
P35729,NUP120,55.82257548,67.97876807,92.72455237,82.65679473
P35732,DEF1,119.1482733,165.4714542,203.5470135,193.5760268
P35735,SFK1,0.531744783,1.166776817,1.428342862,1.02860089
P35817,BDF1,243.109922,273.8843943,375.9325051,392.6999546
P35844,KES1,1494.189699,1885.112165,2196.639105,2503.014814
P35845,SWH1,46.82012708,69.8362774,83.43842489,110.8910938
P35996,MRPL38,404.6780198,680.5951447,902.1152385,1079.704171
P35997,RPS27A,36182.44799,28302.88524,39597.84915,41677.28977
P35999,1-Oct,16.94312799,24.2744729,33.43732977,32.04622567
P36000,APL2,165.2865478,200.0251588,285.0199339,249.2572625
P36004,KKQ8,6.399768428,9.209142751,12.22506401,9.817499493
P36006,MYO3,36.74815699,45.15405916,56.80759892,59.94573713
P36007,SRY1,193.2455222,330.7459493,414.3428897,719.996039
P36008,TEF4,1959.544513,2945.834233,3535.315109,4343.018294
P36010,YNK1,1364.295203,1982.084237,2583.678447,1937.538216
P36012,CSE4,5.116320357,9.63428425,9.796634163,4.658357057
P36013,MAE1,60.85899789,94.06272893,131.7920188,170.5127963
P36015,YKT6,55.22213113,111.5501442,134.3202888,207.3612164
P36016,LHS1,64.12225356,101.7324802,141.4947727,112.9860624
P36017,VPS21,179.9503306,155.0701834,192.7388979,182.3909941
P36018,YPT52,29.77103238,73.18798767,88.72611972,104.4546606
P36029,TPO5,2.154409052,1.658280057,2.58759397,10.94325994
P36035,JEN1,17.45639073,42.69351264,45.21865517,129.9225396
P36036,YRA2,123.0915981,147.6666645,260.7175946,246.2641923
P36037,DOA1,316.3080732,355.6665085,501.766676,475.0663594
P36040,ADD66,21.28729828,26.72037531,37.20118822,28.82571173
P36041,EAP1,98.97788951,149.5491156,186.3851503,207.3643282
P36044,MNN4,8.348081195,10.93791106,13.81054066,14.97305957
P36046,MIA40,222.7858596,368.7870333,439.2225005,430.9907356
P36047,SDS22,347.865746,488.8172184,603.0400006,723.3363501
P36048,SNU114,20.20603686,23.73632339,34.2154023,31.09073326
P36049,EBP2,96.15110156,155.981761,210.8862618,260.8928372
P36053,ELF1,96.01621791,137.8819554,138.1253802,119.254878
P36054,RCN1,0,10.16765677,17.52861964,0
P36056,RSM22,2.038715958,2.826453885,4.340103446,5.281277314
P36057,SRP102,54.82972096,87.27846654,107.851563,117.5521306
P36059,YKL151C,82.65099485,101.6869386,125.3273054,145.6356303
P36060,MCR1,360.9749641,597.7725466,732.8289534,948.4332542
P36062,AVT3,34.51605587,49.15590021,70.41531191,64.2237441
P36064,CMC1,0.686552943,1.139071174,1.41977793,1.431632144
P36076,CAB3,19.44813434,21.41425746,25.64857719,30.63526039
P36080,RRP14,121.8310284,160.2512712,215.1946763,260.5074721
P36081,YKL077W,307.8677657,366.8784992,540.2292724,526.0004065
P36088,YKL069W,19.56900344,30.80815389,48.63045772,31.8241569
P36091,DCW1,8.308745447,10.50507136,14.65585633,15.00841361
P36093,PHD1,3.64765854,3.900670569,6.442235238,5.413271976
P36094,SPC42,23.79952729,28.85425616,39.69166165,35.05538402
P36095,VPS24,32.66281381,37.97610955,48.55268234,58.60389616
P36096,TUL1,8.682921655,10.77294634,14.94192349,21.68996583
P36097,TTI1,2.183597121,2.488617497,3.572906574,3.417258874
P36100,TFA1,4.575574863,6.574944278,8.581763084,8.283635914
P36101,TCD2,83.48015411,134.0670935,166.1856392,198.7434641
P36102,PAN3,59.55712599,75.37170089,104.9655844,106.3272674
P36103,YKL023W,19.31204402,26.6404506,31.29331917,43.62636848
P36105,RPL14A,8582.256041,10709.74506,15466.07416,17137.49509
P36106,BYE1,6.35440217,6.913210711,9.40787011,8.072961379
P36108,DID4,232.5899946,410.4828736,498.7492431,691.3657078
P36110,PRY2,60.21064865,68.37409061,76.04907545,39.29099304
P36112,MIC60,48.65776187,87.67541022,121.5187378,114.7695564
P36114,YKR018C,220.6850338,301.4560897,383.16688,517.3463367
P36116,VPS51,213.3580943,296.6576242,376.5235658,377.2219244
P36117,ALY1,0.576576393,2.775709575,1.39668292,2.803961019
P36122,BCH2,2.796894655,3.734510017,5.249163974,4.574586171
P36123,SAP190,95.19907238,119.2272552,178.4709354,141.87699
P36124,SET3,6.080083134,7.316864929,11.04059425,9.741939199
P36126,SPO14,0.287495312,0.410588869,0.529636593,0.512648885
P36130,CAF4,2.547251246,0,2.997075819,2.921657944
P36131,SPC34,14.48818151,19.75620511,22.15325543,30.48969585
P36132,KAE1,91.43047875,125.4098477,157.424186,188.1052826
P36136,SHB17,158.7066048,243.259045,315.8369279,400.6956958
P36139,PET10,28067.63102,32267.25032,43278.10057,51128.69079
P36141,FMP46,65.29963135,97.84821941,121.4949831,146.6343641
P36144,UTP30,3.372173811,5.275018843,6.746375129,9.401549507
P36145,TFA2,8.421770346,10.14269217,14.16869054,14.06638773
P36146,LAS1,0.805890005,1.075171474,1.620500914,1.577417848
P36147,PAM17,18.73470137,51.72654419,62.46394049,62.2476015
P36148,GPT2,35.8672116,59.226514,76.52458101,73.76867758
P36149,BET3,440.368156,533.038462,654.1092517,773.6603665
P36150,MET1,104.0533855,142.2452191,197.8332322,247.4968954
P36152,DRE2,2.263859889,3.673649186,4.437018783,5.884118121
P36154,AIM29,233.4395567,337.3585857,458.789792,395.3979176
P36156,ECM4,132.0742634,234.1946374,197.1497551,113.4777235
P36158,YKR078W,5.465789074,9.154075047,12.43266716,13.06242193
P36160,RPF2,45.07654558,54.19109184,70.07258118,75.92385314
P36161,NUP133,35.23639319,48.25218148,61.41403972,52.84314473
P36162,DAD2,86.56688693,117.1543711,121.5842982,93.66905653
P36164,TVP38,180.4901057,244.7881176,379.7275398,322.5021983
P36168,ESL2,2.232635818,3.291561108,4.972311138,6.62076243
P36224,JNM1,0.834145663,0.290570798,1.011862524,1.536665116
P36421,TYS1,1463.877352,2266.003467,2694.371801,3147.637825
P36516,MRPL3,147.0674069,259.6783244,336.5274824,392.8072026
P36517,MRPL4,74.56403727,133.7742925,176.0797192,188.5946982
P36520,MRPL10,7.422917737,11.66914569,14.76750202,16.35535965
P36521,MRPL11,23.82297078,45.79146107,62.75593329,66.99244323
P36523,MRPL15,19.12870482,37.50175164,48.61212373,57.22390062
P36525,MRPL24,27.75681289,39.42077094,48.17868622,48.12807396
P36526,MRPL27,5055.458502,8652.536318,9804.71015,12316.12999
P36527,MRPL28,277.9086912,450.9059279,570.0499049,694.8824994
P36528,MRPL17,91.2686452,148.3457501,201.7828941,221.3289905
P36531,MRPL36,3.17919679,9.030564517,9.076919872,12.39470386
P36533,MRPL39,395.6462066,422.5047243,509.2480517,458.9546966
P36534,MRPL40,100.9397509,137.5415483,201.1335975,234.9955375
P36775,PIM1,225.1273167,281.3410526,392.7020571,474.1245716
P36973,APT2,74.23165632,82.1151715,115.5252646,73.8971676
P37012,PGM2,727.4059915,751.2350843,1066.732885,1436.322178
P37020,GEF1,1.867861759,2.968674935,3.662226881,3.337080096
P37254,ABZ1,20.38423478,22.24633564,30.03863476,29.99564923
P37262,SOL2,167.4699399,303.1069004,361.0467928,426.9864831
P37263,YCR087C-A,27.82512156,32.13198337,41.66510925,52.87667255
P37267,CBP4,84.09028946,181.4665503,274.8584046,326.899548
P37291,SHM2,21445.82718,22419.88953,28790.3976,43090.77146
P37292,SHM1,2118.245104,3178.888122,3966.838895,4599.500482
P37293,NAT2,25.71148518,42.78539548,56.28451234,56.86237113
P37296,STV1,37.46371242,52.33878742,67.14819981,73.68894797
P37297,STT4,17.22862785,22.55450033,30.67605834,28.63620444
P37298,SDH4,1758.184752,2786.457304,3262.681626,3078.474321
P37299,QCR10,5431.460968,9034.796702,12182.96946,10625.97148
P37302,APE3,850.5270663,1126.415307,1193.800606,1880.288281
P37303,GLY1,117.0513705,125.2136962,181.6399724,210.3898661
P37304,PAM1,4.390346446,6.26601845,6.744870257,13.12254924
P37366,CCL1,17.30672727,21.85950925,27.39748324,26.49157433
P37838,NOP4,11.28590403,13.97875408,18.67977909,26.28500126
P37898,AAP1,318.1149294,480.3955579,621.092351,716.4298664
P38009,ADE17,3233.916584,3920.891377,4419.015541,6444.405247
P38011,ASC1,789.2208226,2136.086134,2063.522884,3039.798606
P38013,AHP1,463.6367701,569.752266,574.5544965,1620.437255
P38041,BOI1,5.572336129,7.072177835,7.944519916,10.64955694
P38061,RPL32,2105.613371,2626.000734,3506.038612,4385.810125
P38064,MRPL16,45.6207889,81.34288752,99.91202446,111.1318306
P38065,APL3,25.47560915,34.45428597,48.14133431,41.45806935
P38066,RIB1,5.686966121,6.604065016,9.37289013,12.18634319
P38067,UGA2,14.82195369,24.29961062,28.43542533,28.69658758
P38069,MNN2,48.0737182,55.89229742,77.36349689,79.54196457
P38070,YPK3,8.034449115,13.69776074,18.4804543,16.85676615
P38071,ETR1,1496.31354,3035.67965,3667.562667,3903.178117
P38072,SCO2,67.71947696,97.85344708,117.3066974,107.0657497
P38074,HMT1,78.09451076,109.7585395,159.8932888,151.7863801
P38075,PDX3,55.38720036,67.84019228,83.39408635,112.8211449
P38077,ATP3,2340.220672,3487.448249,4642.833419,6455.066901
P38080,AKL1,17.33983716,20.92401435,25.91738321,28.39030393
P38081,YBR056W,358.7994042,411.2608894,534.1685346,544.8823874
P38084,BAP2,1.148189392,2.495733424,2.801470423,5.2606821
P38086,RDH54,6.40168609,8.220819887,11.47427028,10.60845993
P38088,GRS1,1651.858226,2562.926088,2969.378783,3778.70053
P38089,PTC4,44.51075921,53.93546743,71.80219108,72.7287169
P38113,ADH5,3268.027755,3921.16868,5289.341569,9752.870025
P38114,TBS1,1.944497039,2.113933619,3.194988393,3.044234322
P38115,ARA1,10142.25745,13849.2283,17003.73304,19228.37847
P38116,ARL1,38.59264349,56.22524917,136.5484183,77.03150941
