Accession,Gene,NH4,Gln,Phe,Ile
P05318,RPP1A,10569.01998,25350.91348,26800.05048,20942.0468
P05319,RPP2A,35101.33776,54391.76999,64493.52911,51052.87186
P05373,HEM2,989.839284,1619.58243,1959.446733,2175.552001
P05374,CHO2,460.429011,638.6895837,911.0500507,767.1675035
P05375,OPI3,175.9089064,395.2566045,465.6995314,328.5477916
P05453,SUP35,373.9512355,518.5920149,565.7908873,795.9728855
P05626,ATP4,9641.536543,17945.04274,22486.05733,23409.5813
P05694,MET6,8562.613185,12664.97405,14939.93294,18891.54186
P05737,RPL7A,34457.21916,46509.62412,57827.2593,56700.02355
P05739,RPL6B,1905.865127,3699.401276,4120.397917,4832.687936
P05740,RPL17A,7932.151241,8995.45821,12626.18929,14692.32147
P05743,RPL26A,18758.89347,23713.38762,26655.16766,33173.8858
P05744,RPL33A,433.0417032,611.6528742,660.6639274,685.8383878
P05748,RPL15A,1837.887159,2525.047774,3517.352278,3893.241747
P05749,RPL22A,299.977052,416.8613571,496.9500067,561.4958044
P05750,RPS3,12709.51062,18546.34384,26091.07033,29983.38035
P05755,RPS9B,9042.542006,14125.49361,17732.53944,21528.21221
P05756,RPS13,24549.12926,30918.06968,45480.14329,46465.98316
P05759,RPS31,11588.22817,16746.97544,21505.95158,30018.07243
P06100,CDC36,0.994817209,1.627980717,1.792693289,1.200557052
P06101,CDC37,887.2949712,1297.109124,1567.011671,1571.562412
P06102,NOT3,70.95326093,87.16671862,119.8967801,135.3018112
P06103,PRT1,257.7746321,468.2038593,557.8039931,640.6396132
P06105,SCP160,1147.71371,1419.761117,1835.949236,2248.788261
P06106,MET17,112168.562,123240.4804,195819.4179,184577.7383
P06168,ILV5,5748.489906,10920.09033,13572.24745,12349.16641
P06169,PDC1,17663.645,24678.11868,26462.61109,41290.07676
P06174,HEM4,38.85130515,49.7943366,63.87593699,83.79848563
P06182,CYC3,50.44956837,68.71281134,84.34847448,81.50858149
P06197,PIS1,150.2419584,296.1600154,377.7558209,374.9443101
P06208,LEU4,3362.956756,5163.085098,6538.495797,9677.744975
P06242,KIN28,6.941018357,8.902577449,11.78703223,9.331791286
P06244,TPK1,112.8780255,137.0003773,177.277924,208.5188827
P06245,TPK2,378.5929202,432.7415327,604.4514835,613.0033467
P06633,HIS3,382.8611241,509.3246483,758.8099394,1028.321352
P06634,DED1,681.9981728,895.1214659,1054.721617,1212.670847
P06701,SIR3,5.493259581,6.838149127,9.472786425,8.620007217
P06704,CDC31,156.8736193,213.274783,317.0174182,404.9467286
P06738,GPH1,1108.386267,1616.453455,2095.789657,1718.481602
P06775,HIP1,0.410578126,0.801366489,1.012549892,1.723797705
P06776,PDE2,42.89770644,46.15382722,65.55384643,53.03144736
P06777,RAD1,5.014248963,6.941960564,10.16925432,7.997347453
P06778,RAD52,4.847862251,4.367874953,7.137892523,7.27429439
